date,time_low,low,time_high,high,open,close,volume,market_cap
2023-09-10,19:57:00,12.7338834233,04:06:00,13.2255221376,13.2164394742,12.8804500984,1028899.05,199385241.06
2023-09-09,22:10:00,13.1982283665,03:11:00,13.3252898864,13.3053737537,13.2148851992,477566.56,204528609.37
2023-09-08,20:21:00,13.2706915618,07:16:00,13.5383860328,13.3420492515,13.3054360033,672360.14,205893214.81
2023-09-07,12:44:00,13.0474423547,22:44:00,13.3589516716,13.0886335569,13.3407778447,610713.3,206395494.21
2023-09-06,15:20:00,12.9706362153,17:58:00,13.1792767519,13.1495428226,13.0873600169,420970.0,202387114.62
2023-09-05,03:13:00,12.9397102769,20:31:00,13.2356243153,12.9895055282,13.1478949332,675326.46,203222116.67
2023-09-04,15:16:00,12.9092357058,21:47:00,13.2510245856,13.0023801542,12.9887148959,1059726.91,200724030.4
2023-09-03,17:30:00,12.8391673408,07:01:00,13.2761507869,13.1781978162,13.0033031581,615423.58,200916961.57
2023-09-02,01:35:00,12.7919358313,11:13:00,13.3683354785,12.8168234575,13.1770535855,1100563.72,203575735.25
2023-09-01,23:59:00,12.816487569,12:07:00,13.3176225804,13.0855919462,12.816487569,600881.28,197988801.42
2023-08-31,17:22:00,12.8401082591,00:04:00,13.6398912217,13.6097300893,13.0849488505,902829.48,202130000.5
2023-08-30,16:50:00,13.5913745222,00:14:00,13.9044751384,13.8394839637,13.6100338432,756119.18,210241261.08
2023-08-29,02:50:00,13.1198431784,19:44:00,14.0580651146,13.1400533959,13.836689177,2156753.05,213742523.73
2023-08-28,19:45:00,13.0907776104,04:54:00,13.4025367598,13.3190821812,13.1408651182,1078261.75,202970310.26
2023-08-27,22:06:00,13.3117249679,06:31:00,14.6275138345,13.8782611727,13.3185683133,2783856.05,205682648.22
2023-08-26,01:29:00,13.2428739184,17:23:00,14.3919501964,13.2736240879,13.884761694,3831267.8,214394675.61
2023-08-25,05:15:00,12.7640294373,21:58:00,14.0687341502,12.8573529106,13.2743593359,3536271.7,204933768.37
2023-08-24,18:54:00,12.6557627399,20:20:00,13.7680255914,12.9234182289,12.8557643599,2211940.24,198441823.34
2023-08-23,13:02:00,12.7384870141,19:50:00,13.0179406328,12.772476756,12.9222871303,738095.66,199437446.36
2023-08-22,21:57:00,12.4984924791,00:33:00,13.1498499612,13.1097398829,12.7725313583,886045.22,197093060.71
2023-08-21,16:19:00,12.9087208093,00:03:00,13.2783363432,13.2759692962,13.1113750724,1143580.78,202288246.49
2023-08-20,06:49:00,12.9996396192,17:34:00,14.0866096801,13.0322023959,13.2756332328,2079548.77,204794292.6
2023-08-19,07:14:00,12.8500978895,17:54:00,13.116627723,13.0358427986,13.0352950769,724973.59,201054005.4
2023-08-18,04:56:00,12.67105403,09:06:00,13.2502010921,12.794981892,13.0342764532,992246.58,201000953.32
2023-08-17,22:23:00,12.6930858632,09:35:00,13.7675663496,13.4483530655,12.793673938,1115864.6,197258185.16
2023-08-16,21:22:00,13.2533846802,00:03:00,14.1197323605,14.1165639897,13.449814751,1344707.23,207342988.16
2023-08-15,19:35:00,14.0606435066,00:19:00,14.720939615,14.7154590187,14.1169136018,1260120.17,217592207.26
2023-08-14,10:21:00,14.6143113694,16:52:00,14.7665785495,14.6520120324,14.7167921956,918790.84,226800375.78
2023-08-13,22:56:00,14.6320445823,14:43:00,14.8509663339,14.6759717344,14.6520005187,872256.24,225760187.8
2023-08-12,23:55:00,14.6715949309,11:04:00,15.3414653849,14.7347049473,14.676286597,1528878.36,226101605.84
2023-08-11,03:10:00,14.5984010086,20:52:00,14.7493520456,14.7173252219,14.7353811514,749616.65,226982672.32
2023-08-10,07:14:00,14.375484146,19:28:00,14.8280191154,14.5018901267,14.7176788935,1055252.75,226675848.63
2023-08-09,23:26:00,14.5006179205,09:31:00,15.1474865441,14.6364408448,14.5030949531,1105432.65,223332654.52
2023-08-08,09:18:00,14.3248171441,18:27:00,14.7595364471,14.4633196232,14.6424337041,867021.05,225432567.61
2023-08-07,17:35:00,14.3157195691,11:55:00,14.734456999,14.5399896575,14.4638897458,768126.98,222650985.57
2023-08-06,15:27:00,14.3350228024,19:32:00,14.7046977881,14.4256264795,14.5439846703,754689.53,223844551.96
2023-08-05,12:42:00,14.2967057148,23:51:00,14.4315770642,14.4044550094,14.4258234414,651931.66,221993996.63
2023-08-04,20:58:00,14.3805240666,08:17:00,14.9972419073,14.8148920923,14.4044568326,1056446.14,221632341.15
2023-08-03,08:28:00,14.0512483074,21:47:00,15.4543371682,14.2283704684,14.823421602,2329460.56,228037775.33
2023-08-02,21:19:00,14.0835476734,00:27:00,14.4603618979,14.4263896124,14.2328145412,1071616.14,218918819.49
2023-08-01,08:09:00,14.2179453819,01:01:00,14.7886343424,14.7390761047,14.4251758473,1050133.94,221843261.71
2023-07-31,21:07:00,14.6975218198,19:46:00,16.5010751246,15.0534079999,14.7389069899,3318161.22,226628355.55
2023-07-30,02:50:00,14.6058549,11:41:00,15.8648325593,14.636400299,15.0539693092,2895353.5,231436039.8
2023-07-29,11:09:00,14.4369898191,03:03:00,14.7136704106,14.6371617427,14.6362406419,657759.5,224979010.11
2023-07-28,09:43:00,14.3346102927,03:38:00,14.8680524901,14.646596932,14.6362099784,822844.93,224939908.0
2023-07-27,19:50:00,14.5368215255,08:16:00,14.9119187327,14.6143652966,14.6460070983,683003.77,225053124.75
2023-07-26,01:41:00,14.3507338943,06:43:00,14.7617830218,14.5307079333,14.6138275571,713160.36,224520053.36
2023-07-25,01:20:00,13.7657439499,13:36:00,14.9359727706,13.8651204544,14.53045852,1204959.24,223205739.32
2023-07-24,20:54:00,13.7956590803,00:52:00,14.8959377255,14.8317764093,13.8663629553,1194462.33,212968181.42
2023-07-23,15:47:00,14.741315465,01:58:00,15.097021234,14.9630471717,14.8317110406,872206.54,227755293.5
2023-07-22,00:10:00,14.862224172,10:19:00,16.2967369362,14.8921334903,14.9286538614,3342308.45,229207963.76
