date,time_low,low,time_high,high,open,close,volume,market_cap
2023-09-10,16:52:00,7.3671385531,00:00:00,7.7202270445,7.7202270445,7.4429660765,6276070.25,220608518.39
2023-09-09,01:03:00,7.6173559695,22:03:00,7.7378135952,7.628946373,7.7202265033,4377914.78,228826480.33
2023-09-08,10:10:00,7.559837832,00:59:00,7.8026740729,7.7470467009,7.6286983328,5539698.51,226113597.61
2023-09-07,12:05:00,7.3762331374,23:11:00,7.7494648052,7.5293536725,7.7460284333,7048465.08,229591246.08
2023-09-06,23:48:00,7.5165151414,18:04:00,7.7537942802,7.7341095557,7.5288536445,7449331.79,223154214.41
2023-09-05,03:28:00,7.4925178224,16:16:00,7.7993122506,7.5794498092,7.735736454,7171262.61,229286193.19
2023-09-04,00:00:00,7.3189397126,17:35:00,7.606677294,7.3189397126,7.5792232005,10394797.04,224641731.81
2023-09-03,16:55:00,7.2644259184,06:50:00,7.3767975417,7.3526117271,7.3190697591,4325614.88,216931004.99
2023-09-02,18:47:00,7.2791683753,00:41:00,7.4326026552,7.4283593628,7.3517028765,8416324.81,217898222.84
2023-09-01,18:38:00,7.2647349628,00:51:00,7.8897782891,7.8319609517,7.4282603229,11293765.89,220167320.46
2023-08-31,21:10:00,7.8037850291,11:53:00,8.1351660828,8.0499550533,7.8314217383,6065198.94,232116682.05
2023-08-30,21:48:00,8.0206694481,00:13:00,8.266662631,8.2546553183,8.0500027186,5847563.61,238595236.47
2023-08-29,10:37:00,7.8420196212,18:08:00,8.3135089048,8.0443761782,8.2549702268,8659615.21,244500663.06
2023-08-28,10:52:00,7.865591721,23:37:00,8.0513804481,8.0123879817,8.0431004484,5112669.77,238225376.79
2023-08-27,03:07:00,7.8890895945,23:11:00,8.0224311619,7.8975958907,8.0128205965,4885731.73,237324707.67
2023-08-26,00:49:00,7.7347385186,20:34:00,7.9067533498,7.7693884174,7.8975176638,6125236.79,233909651.2
2023-08-25,23:31:00,7.7129577261,00:03:00,8.0804641333,8.0737696043,7.7696992416,7249456.61,230123909.42
