date,time_low,low,time_high,high,open,close,volume,market_cap
2023-09-10,17:57:00,1.650528503e-05,00:09:00,1.766011095e-05,1.755459994e-05,1.67423461e-05,10934453.09,157966505.06
2023-09-09,18:32:00,1.726535551e-05,00:00:00,1.879622877e-05,1.879622877e-05,1.754951798e-05,25140567.29,165582470.27
2023-09-08,10:24:00,1.692746622e-05,20:59:00,1.975022216e-05,1.716574683e-05,1.880728825e-05,46550383.39,177449731.14
2023-09-07,12:46:00,1.672272518e-05,21:26:00,1.719451073e-05,1.688561841e-05,1.716412733e-05,7420060.2,161946248.69
2023-09-06,17:07:00,1.668600909e-05,01:15:00,1.708835889e-05,1.701980842e-05,1.688535963e-05,8251501.03,159316031.54
2023-09-05,08:39:00,1.680785842e-05,15:55:00,1.714260109e-05,1.694433392e-05,1.701916538e-05,7453616.43,160577756.35
2023-09-04,22:01:00,1.678950331e-05,17:26:00,1.7120872e-05,1.692429636e-05,1.694307145e-05,8640431.85,159859802.25
2023-09-03,16:56:00,1.678577471e-05,05:36:00,1.709453636e-05,1.703600546e-05,1.692470205e-05,7245328.64,159686763.99
2023-09-02,18:50:00,1.688480892e-05,06:09:00,1.711102734e-05,1.704201097e-05,1.703100828e-05,7188457.87,160689777.34
2023-09-01,18:40:00,1.680126861e-05,00:48:00,1.749838177e-05,1.744308529e-05,1.704162977e-05,8231488.47,160789992.69
2023-08-31,21:10:00,1.731411192e-05,11:50:00,1.831239034e-05,1.829665251e-05,1.744288851e-05,8036641.9,164575921.67
2023-08-30,16:53:00,1.801741567e-05,01:52:00,1.871114211e-05,1.854669454e-05,1.829669781e-05,11366491.67,172631736.03
2023-08-29,10:39:00,1.715370926e-05,22:16:00,1.881030546e-05,1.758529291e-05,1.854633153e-05,11626579.96,174987062.88
2023-08-28,09:56:00,1.726890098e-05,17:56:00,1.77147626e-05,1.764893499e-05,1.758555457e-05,7383770.81,165922006.65
2023-08-27,04:20:00,1.752478037e-05,15:12:00,1.771181886e-05,1.763090846e-05,1.764794717e-05,6932538.3,166510688.99
2023-08-26,02:03:00,1.751703657e-05,14:59:00,1.781257399e-05,1.756193783e-05,1.763134716e-05,7936696.26,166354090.45
2023-08-25,17:50:00,1.736636908e-05,00:04:00,1.806466338e-05,1.804157894e-05,1.756107678e-05,9666843.9,165691080.08
2023-08-24,21:46:00,1.788139478e-05,05:08:00,1.856206364e-05,1.853348364e-05,1.804174035e-05,9357797.54,170226204.39
2023-08-23,13:19:00,1.793277827e-05,17:19:00,1.875164377e-05,1.804947579e-05,1.853363092e-05,9600756.93,174867256.99
2023-08-22,21:29:00,1.751173854e-05,00:25:00,1.844582908e-05,1.839720883e-05,1.80483461e-05,9659657.91,170288548.0
2023-08-21,15:53:00,1.816480027e-05,00:07:00,1.894146539e-05,1.893296304e-05,1.839783751e-05,9579336.61,173586071.52
2023-08-20,00:00:00,1.874622476e-05,13:10:00,1.906319711e-05,1.874622476e-05,1.893336809e-05,8726129.15,178638874.56
2023-08-19,07:29:00,1.841543195e-05,16:42:00,1.895306771e-05,1.843493101e-05,1.874563671e-05,10713904.54,176867603.76
2023-08-18,01:51:00,1.782857432e-05,08:16:00,1.878280579e-05,1.836201424e-05,1.843296989e-05,18805293.15,173917562.59
2023-08-17,21:46:00,1.818194212e-05,12:34:00,2.181317162e-05,2.122913221e-05,1.836207684e-05,22621159.61,173248677.59
2023-08-16,21:58:00,2.100697711e-05,00:22:00,2.306165269e-05,2.29577487e-05,2.123326248e-05,17051608.13,200333764.31
2023-08-15,19:28:00,2.250270676e-05,10:53:00,2.479564364e-05,2.38194838e-05,2.295821735e-05,40510310.92,216608545.6
2023-08-14,00:08:00,2.29442958e-05,16:28:00,2.448931068e-05,2.299105959e-05,2.381873944e-05,23019241.05,224727487.73
2023-08-13,07:52:00,2.291317709e-05,12:41:00,2.343874033e-05,2.321700464e-05,2.299248959e-05,14231201.69,216931900.91
2023-08-12,00:16:00,2.274405684e-05,09:19:00,2.338725064e-05,2.27887453e-05,2.321606039e-05,17050268.74,219041269.57
