date,time_low,low,time_high,high,open,close,volume,market_cap
2023-09-10,19:43:00,3.0696236145,00:00:00,3.2416447505,3.2416447505,3.1117568866,92473747.61,1389822760.83
2023-09-09,01:01:00,3.2163386082,15:53:00,3.2646847314,3.2260486995,3.2415072587,70468294.19,1447773952.7
2023-09-08,10:19:00,3.1910333896,00:59:00,3.2785920241,3.2612210573,3.2258884878,67114725.03,1440798046.77
2023-09-07,12:04:00,3.2077657857,21:22:00,3.2803868401,3.2456372181,3.2609591286,66656623.82,1456363550.62
2023-09-06,17:07:00,3.1904239238,17:58:00,3.2831061382,3.2388241814,3.2458696268,81817706.17,1449138054.48
2023-09-05,03:16:00,3.1504057462,15:19:00,3.2564765523,3.1729958486,3.2386708107,70357428.91,1445492116.06
2023-09-04,22:02:00,3.1324214427,03:11:00,3.2659714296,3.1664474205,3.1730479014,79562854.36,1415026889.57
2023-09-03,16:55:00,3.1259949723,01:15:00,3.1926409265,3.1873154085,3.166429299,65778120.66,1411590448.3
2023-09-02,18:32:00,3.1440348117,15:19:00,3.2254979577,3.1715023286,3.1869919968,72190574.54,1420094699.08
2023-09-01,17:16:00,3.1285586924,00:22:00,3.2319431528,3.2138566748,3.1711721798,84365833.39,1412665451.4
2023-08-31,17:23:00,3.1585581878,11:46:00,3.4348493077,3.4160158719,3.2136981429,127831981.86,1429849526.8
2023-08-30,15:07:00,3.3827117438,00:04:00,3.4997861117,3.4966633704,3.4157907536,82326085.21,1518382721.82
2023-08-29,12:25:00,3.3010952765,14:45:00,3.563084826,3.3887684663,3.4966930346,145235541.44,1553880546.21
2023-08-28,01:08:00,3.2930370475,23:32:00,3.390464041,3.3119610903,3.388574753,104986834.22,1503605054.11
2023-08-27,03:00:00,3.2284643083,23:50:00,3.3140545504,3.2602407807,3.3119064989,68137022.15,1468949555.58
2023-08-26,00:50:00,3.2240757901,21:50:00,3.2799821237,3.235307194,3.260742543,54500102.99,1445827675.63
2023-08-25,05:05:00,3.2082910899,00:01:00,3.2979884612,3.2974610366,3.2352461263,96585090.02,1434049850.1
2023-08-24,23:35:00,3.2717460211,05:07:00,3.46553487,3.4489206002,3.2969795894,103981518.03,1461132721.33
2023-08-23,13:17:00,3.3710843351,19:56:00,3.4811681312,3.392492472,3.4487781368,84799474.64,1528284166.61
2023-08-22,21:31:00,3.2703992874,00:52:00,3.4233542708,3.4161273236,3.3934061091,85790469.59,1503220526.18
2023-08-21,16:58:00,3.3892511513,02:26:00,3.5664097188,3.5644559831,3.416288361,101355624.67,1513047297.21
2023-08-20,15:13:00,3.5271108762,20:47:00,3.5847216498,3.5658085162,3.5645155876,60947840.36,1578486303.92
2023-08-19,00:24:00,3.4953496312,17:07:00,3.6091189493,3.5001319761,3.5657103271,69948249.64,1578984448.98
2023-08-18,03:01:00,3.4249565591,11:57:00,3.52088014,3.4445716766,3.4998745726,131449183.31,1549830753.65
2023-08-17,21:47:00,3.1895334882,12:49:00,3.7829920469,3.7259052566,3.4436524035,148088216.52,1524697346.9
2023-08-16,21:16:00,3.6435556394,00:24:00,3.8606551316,3.849828656,3.7261129136,98012199.44,1649570892.88
2023-08-15,19:12:00,3.7220822597,01:09:00,4.0774575555,4.0748182931,3.849727757,118034999.97,1703605075.82
2023-08-14,02:23:00,4.0529794423,16:43:00,4.1175197246,4.0941048968,4.0747384019,70279416.7,1802359405.22
2023-08-13,22:43:00,4.0746932544,20:02:00,4.1695829101,4.1249447201,4.0941086629,67782829.02,1808440311.28
2023-08-12,04:09:00,4.0982051625,16:24:00,4.1365217695,4.1069193418,4.1248481751,57823859.76,1820624600.7
2023-08-11,19:22:00,4.0949567807,00:57:00,4.1537679753,4.1347656639,4.1067981428,62060348.32,1812321724.71
2023-08-10,09:40:00,4.0918678427,01:32:00,4.1554008146,4.149384468,4.1348152145,69381134.87,1819459828.02
2023-08-09,21:16:00,4.1134146495,13:02:00,4.1915093976,4.1454185607,4.1493904172,179684785.62,1825126466.33
2023-08-08,02:05:00,4.0713895923,21:28:00,4.1903120885,4.1017895652,4.1454401962,79365706.6,1823163939.18
2023-08-07,16:20:00,4.0259939756,01:32:00,4.2027068372,4.154839471,4.1015869684,84067757.68,1800487937.86
2023-08-06,02:01:00,4.097860113,21:24:00,4.170893196,4.1002393315,4.1548078005,62956317.26,1823639025.69
2023-08-05,05:19:00,4.0338386875,18:59:00,4.1203091815,4.0895823829,4.100355687,69497736.14,1799330186.81
2023-08-04,20:52:00,4.0581133172,15:52:00,4.15013501,4.1062351392,4.0893574271,80269052.79,1794407380.94
2023-08-03,22:34:00,4.0958092248,02:02:00,4.2909759407,4.2643642273,4.1066326045,90009312.88,1801589587.73
2023-08-02,15:20:00,4.2037227866,01:36:00,4.316228752,4.2785588364,4.264708337,109247778.31,1870812191.33
2023-08-01,02:13:00,4.1528068658,01:15:00,4.2828159778,4.2573962153,4.2788348754,85651723.08,1876836149.74
2023-07-31,21:05:00,4.218540268,01:03:00,4.3563024747,4.3142511166,4.2573936467,75764897.54,1867220439.43
2023-07-30,20:17:00,4.2282008621,04:38:00,4.4391893226,4.419686674,4.3141932681,82981310.07,1891303406.07
2023-07-29,00:07:00,4.3848585209,03:08:00,4.43888231,4.3999330428,4.4194791256,72592279.44,1937191067.37
2023-07-28,05:55:00,4.3835648813,00:46:00,4.4768040623,4.4239323624,4.4003072213,94462775.57,1928768807.87
2023-07-27,18:41:00,4.3207494448,23:59:00,4.4240134857,4.3299343493,4.4240134857,106577824.87,1938985289.29
2023-07-26,11:56:00,4.2599943962,00:00:00,4.4019976967,4.4019976967,4.3297263451,118878219.42,1897061142.16
2023-07-25,20:13:00,4.3819886074,06:33:00,4.5388847239,4.5179186175,4.4020176685,108804087.2,1928563316.63
2023-07-24,10:01:00,4.3655265984,00:46:00,4.588787,4.5646539179,4.5173103012,161973184.33,1977274132.54
2023-07-23,00:52:00,4.4443979379,04:14:00,4.6639982704,4.4471642982,4.5651958761,139745329.46,1996683550.54
2023-07-22,23:37:00,4.4094896571,05:41:00,4.5618048937,4.4724623031,4.4470166777,117349640.67,1944895815.55
2023-07-21,00:40:00,4.410482969,02:01:00,4.5398026331,4.4358634767,4.4721893063,131441930.46,1955508239.37
2023-07-20,00:32:00,4.2513236416,15:12:00,4.499707398,4.2608335835,4.4353373591,195967628.17,1939367639.97
2023-07-19,21:22:00,4.2260797167,03:20:00,4.3853023407,4.2765298726,4.2611847846,87693189.04,1863194055.98
2023-07-18,17:06:00,4.2175160011,02:07:00,4.3849539695,4.3494236912,4.2754753053,93718097.33,1867726431.52
2023-07-17,17:23:00,4.2370882383,05:13:00,4.4609323884,4.353726406,4.3502539215,132172077.8,1900149337.52
2023-07-16,20:27:00,4.328601839,14:35:00,4.462370027,4.4336903658,4.3532379284,105805599.03,1901301152.21
2023-07-15,05:39:00,4.3910101605,08:49:00,4.5008589893,4.4351439894,4.4334788484,108374165.34,1935414212.07
2023-07-14,19:06:00,4.3461805445,16:23:00,4.7266856774,4.6912358346,4.4351858295,216415671.73,1935497674.6
2023-07-13,04:15:00,4.1925520023,23:58:00,4.6947047297,4.2351085255,4.6935037416,175573359.0,2042429439.09
2023-07-12,21:47:00,4.1918371852,12:34:00,4.3358374643,4.29230958,4.2350381653,83334738.07,1842069511.12
2023-07-11,19:12:00,4.2254191759,07:12:00,4.3399774127,4.31750344,4.2922880784,66915592.61,1866887768.26
2023-07-10,08:38:00,4.1614292041,20:09:00,4.4053393684,4.3365717516,4.3176378203,118325632.58,1877344095.73
2023-07-09,00:31:00,4.3251508416,14:55:00,4.4166719943,4.3426967763,4.3364543278,73710380.25,1884939299.82
2023-07-08,20:13:00,4.2475427251,02:53:00,4.4268190965,4.4018663453,4.34332623,75172986.67,1887628894.32
2023-07-07,00:04:00,4.2875966893,14:05:00,4.4508429122,4.3289230761,4.4021001889,96681377.53,1912964609.57
2023-07-06,23:59:00,4.3293038345,09:17:00,4.6712603434,4.602672886,4.3293038345,185853907.71,1880960360.46
2023-07-05,10:41:00,4.3730156546,20:49:00,4.8165581066,4.5472093526,4.603277225,341972188.19,1999924268.72
2023-07-04,19:16:00,4.4927249746,00:31:00,4.750845761,4.7347354617,4.5468014531,197029974.65,1971332585.25
2023-07-03,00:43:00,4.0829254939,19:58:00,4.8913304913,4.1087258094,4.7362190056,670555396.62,2053457348.62
2023-07-02,15:26:00,4.0068448429,23:16:00,4.1242109201,4.1014002667,4.1089385496,126548806.58,1779837194.63
2023-07-01,04:32:00,3.9298136796,14:28:00,4.2268934831,3.9501884788,4.0996916552,162513266.11,1775831788.76
2023-06-30,13:49:00,3.6814896055,13:33:00,4.0342404728,3.8334362571,3.9503704976,180031654.38,1711151495.54
2023-06-29,00:00:00,3.7674628651,13:20:00,3.8877925091,3.7674628651,3.8338536863,70997798.64,1660523615.95
2023-06-28,19:46:00,3.6957019649,00:07:00,4.0311630417,4.0250258421,3.767940464,109053398.17,1630937114.08
2023-06-27,00:37:00,3.9491758597,14:10:00,4.0714895285,3.9591161577,4.0248904658,90977810.51,1741757680.57
2023-06-26,22:02:00,3.9089728459,00:32:00,4.1476826576,4.1262716846,3.9594044128,111612678.07,1713315512.66
2023-06-25,00:47:00,3.9256265824,16:38:00,4.2438472355,3.9291494494,4.1266097851,136389857.2,1785303547.71
2023-06-24,15:34:00,3.869957509,04:19:00,4.0656727953,4.0403285602,3.9290539019,100764422.34,1697856153.32
