date,time_low,low,time_high,high,open,close,volume,market_cap
2023-09-10,06:00:00,0.2721639156,00:01:00,0.2773293096,0.2773259369,0.2745263313,947670.01,137468852.57
2023-09-09,14:44:00,0.274177833,22:21:00,0.2775519705,0.2760149242,0.2774035672,803075.52,138909626.26
2023-09-08,17:10:00,0.2733253058,00:47:00,0.2817687935,0.2788786226,0.2758954058,1272554.31,138154415.6
2023-09-07,00:25:00,0.2733325118,22:53:00,0.279874061,0.2743025153,0.278772069,651386.33,139594902.5
2023-09-06,17:08:00,0.2722870339,03:05:00,0.2764894338,0.2741906393,0.2742908124,1134437.9,137350916.65
2023-09-05,08:42:00,0.2692028731,00:19:00,0.2748842099,0.2747020767,0.2742051655,992723.8,137308029.04
2023-09-04,22:04:00,0.2735241743,03:36:00,0.2788322392,0.276331161,0.2747513323,779645.66,137581521.67
2023-09-03,17:33:00,0.2729591579,04:39:00,0.2781553419,0.2772485901,0.2764249374,1001107.37,138419578.14
2023-09-02,03:19:00,0.2666026427,23:40:00,0.2782200067,0.2702721118,0.2772442902,1285501.33,138829868.41
2023-09-01,17:43:00,0.2668024667,04:23:00,0.2788921815,0.2754359262,0.2703967049,1462485.11,135400945.29
2023-08-31,21:12:00,0.2750727504,00:04:00,0.2884223506,0.2873995473,0.2753999854,1201078.61,137906334.19
2023-08-30,16:49:00,0.2867218255,00:01:00,0.2950044752,0.2948824534,0.2873129095,1170166.74,143871721.92
2023-08-29,12:37:00,0.2819511488,23:54:00,0.2951978462,0.2872593618,0.2949064758,1682705.86,147674194.5
2023-08-28,08:21:00,0.2839880595,00:02:00,0.2934660739,0.2934371494,0.2874243828,1072739.31,143927542.08
2023-08-27,01:47:00,0.2907274189,17:37:00,0.2945329056,0.2925495281,0.2934190373,659909.75,146929360.78
2023-08-26,14:34:00,0.2913722731,04:16:00,0.2937784853,0.2929643276,0.2924927244,696858.49,146465510.33
2023-08-25,15:03:00,0.2880444499,11:07:00,0.2960304756,0.2920524045,0.292865659,2198305.99,146652257.01
2023-08-24,17:44:00,0.2869077567,12:27:00,0.2955953516,0.2900817219,0.2921566164,2061285.36,146297204.48
2023-08-23,13:14:00,0.2807060288,17:28:00,0.2922739539,0.2840729602,0.290110534,1575363.15,145272630.3
2023-08-22,21:43:00,0.2786613659,00:45:00,0.2909826152,0.2907679442,0.2840691439,1272421.57,142247408.76
2023-08-21,15:32:00,0.2864522813,00:01:00,0.2962952456,0.2960596689,0.290783799,1245850.62,145609767.22
2023-08-20,15:11:00,0.2911347188,00:02:00,0.2980802412,0.2928252927,0.2960651912,3011915.05,148254420.34
2023-08-19,07:05:00,0.2882898578,17:01:00,0.2933910835,0.2903358855,0.2927977545,1315270.68,146618253.89
2023-08-18,04:52:00,0.2799165909,07:43:00,0.2904049974,0.2839031475,0.2903604112,2485665.86,145397756.08
2023-08-17,22:12:00,0.2754583116,07:04:00,0.3136659829,0.3093886248,0.2837907326,3918849.22,142107994.51
2023-08-16,23:13:00,0.308139219,00:09:00,0.3320999431,0.3319538801,0.3093727548,3556601.8,154918172.75
2023-08-15,23:49:00,0.3318555242,00:00:00,0.3442469758,0.3442469758,0.3319337576,2121161.75,166215577.81
2023-08-14,18:11:00,0.3422345652,03:57:00,0.3465344836,0.3457335952,0.3442605814,2007303.52,172388225.53
2023-08-13,22:22:00,0.3445735055,03:04:00,0.3474028928,0.3472647302,0.3457394741,1120863.45,173128779.9
2023-08-12,11:22:00,0.3449694226,17:05:00,0.3481843697,0.346316233,0.3472763639,1453141.3,173898376.33
2023-08-11,04:01:00,0.342238683,11:13:00,0.3480433797,0.3454123119,0.3463181877,3078097.23,173418570.31
2023-08-10,15:59:00,0.34117874,23:57:00,0.3454604988,0.3437564499,0.3453343776,1395520.35,172925928.13
2023-08-09,21:17:00,0.3421649581,00:02:00,0.3536836828,0.3493335039,0.3438108156,4655320.76,172163005.63
2023-08-08,02:05:00,0.3397602156,23:53:00,0.3495071075,0.3426413617,0.3492893938,1352066.51,174906399.54
2023-08-07,16:21:00,0.340257824,03:02:00,0.348487601,0.3473332346,0.3426178619,1434463.63,171565634.98
2023-08-06,16:00:00,0.345035976,05:34:00,0.3503675548,0.3491641057,0.3473141168,1446458.81,173917281.05
2023-08-05,01:55:00,0.3448665134,23:58:00,0.3491817484,0.3449685724,0.3491209047,2212331.83,174822028.74
2023-08-04,20:56:00,0.3443753298,00:01:00,0.3527893057,0.3527709827,0.3449614713,2480636.92,172739195.61
2023-08-03,08:28:00,0.3487262916,20:34:00,0.3539563028,0.3529585622,0.3527828188,1724763.01,176655729.44
2023-08-02,17:02:00,0.3512492202,00:01:00,0.3638022158,0.3636066289,0.3527634215,2443452.82,176646016.28
2023-08-01,15:33:00,0.3527098133,00:01:00,0.3688647747,0.368477476,0.3635816379,4678794.7,182063229.96
2023-07-31,21:20:00,0.3640861356,10:04:00,0.3977618776,0.3653057692,0.3684306579,28679720.53,184491373.03
2023-07-30,20:26:00,0.3610384011,04:37:00,0.3810340861,0.3766118157,0.3653589941,7668435.09,182953239.68
2023-07-29,08:44:00,0.364731291,22:55:00,0.3774106595,0.3675315143,0.3765182029,3980452.97,188541205.07
2023-07-28,08:14:00,0.353496338,23:59:00,0.3673442529,0.3589225473,0.3673442529,3566385.03,183947356.56
2023-07-27,18:46:00,0.3529333742,00:08:00,0.3593323841,0.3549398013,0.3588956374,4072091.5,179716718.75
2023-07-26,18:01:00,0.3489390006,23:16:00,0.3554749325,0.354276264,0.354880067,2025842.34,177705924.9
2023-07-25,04:56:00,0.344985817,23:58:00,0.3542494138,0.3541736122,0.354215435,2356218.84,177373110.93
2023-07-24,15:13:00,0.349388103,00:01:00,0.3716320777,0.3715148192,0.35440388,3222771.42,177467474.59
2023-07-23,00:58:00,0.3623510225,23:50:00,0.3716492748,0.3651891416,0.3715470155,3363524.05,186051886.75
2023-07-22,02:06:00,0.3557368366,23:58:00,0.3653047589,0.3563214687,0.3652506792,2773981.8,182899001.12
2023-07-21,09:09:00,0.3508163992,23:29:00,0.3567367641,0.3548804183,0.3563321354,2096196.48,178433047.03
2023-07-20,20:56:00,0.3509043485,10:33:00,0.3637331122,0.3608877865,0.3547687113,2855133.95,177650163.59
2023-07-19,00:07:00,0.3508315524,23:28:00,0.3615605362,0.3514536974,0.3609183618,3367819.36,180729596.42
2023-07-18,13:10:00,0.3484008337,00:01:00,0.3645256324,0.3641478331,0.3513461712,3495191.08,175936329.22
2023-07-17,18:51:00,0.3575331293,00:08:00,0.3916615063,0.3766500039,0.364165094,17504909.98,182355395.15
2023-07-16,19:44:00,0.3702607968,00:01:00,0.3795030816,0.3793148773,0.3763308008,4868296.43,188447363.59
2023-07-15,04:11:00,0.3616781958,09:37:00,0.3864134943,0.3721648849,0.3784746352,13421589.6,189520887.08
2023-07-14,00:31:00,0.3590586947,14:25:00,0.3805942225,0.3619618086,0.3722046679,14793293.44,186381205.67
2023-07-13,05:27:00,0.3441946702,15:29:00,0.3637496643,0.3513400895,0.3619007566,9395646.39,181221529.89
2023-07-12,08:05:00,0.3446614555,13:37:00,0.3549357517,0.3525291848,0.3515117188,6650513.3,176019227.08
2023-07-11,00:40:00,0.3311713473,19:31:00,0.3727656943,0.3316715551,0.3524992065,13702131.94,176513710.81
2023-07-10,06:07:00,0.3232751889,20:07:00,0.3324184265,0.3317727628,0.3315639144,2967899.9,166030379.14
