date,time_low,low,time_high,high,open,close,volume,market_cap
2023-09-10,17:28:00,6.7404245346,00:04:00,7.1844290583,7.1824942728,6.9261473897,3753662.31,97717723.61
2023-09-09,01:01:00,7.1765213203,11:58:00,7.3051877746,7.2362225562,7.182130401,2198284.39,101304308.42
2023-09-08,10:08:00,7.1790698844,00:59:00,7.324941557,7.2638401251,7.2366451262,3271650.54,102047144.19
2023-09-07,12:04:00,7.0355602532,00:06:00,7.3452511793,7.3386247609,7.2629622442,4396455.33,102392333.85
2023-09-06,17:07:00,7.124432222,17:59:00,7.3833494931,7.3071249954,7.3384167276,4115377.06,103429984.48
2023-09-05,08:44:00,7.026799313,21:32:00,7.3590776912,7.1150897833,7.3067167128,4257165.81,102957164.19
2023-09-04,22:02:00,7.044776171,03:13:00,7.4220734175,7.2664683676,7.1151093846,3830203.97,100231791.05
2023-09-03,16:55:00,7.1314768569,05:37:00,7.3182347218,7.205857019,7.266525437,3535397.88,102338883.07
2023-09-02,18:47:00,7.0295806992,04:44:00,7.3644927169,7.3211424697,7.2057057337,5565345.47,101457012.27
2023-09-01,22:37:00,7.2740494252,12:19:00,7.7290395994,7.558810911,7.3209787714,6530207.73,103053803.44
2023-08-31,21:10:00,7.4559245378,00:05:00,7.9664283334,7.9322556576,7.5573487546,8595520.79,106354380.1
2023-08-30,06:52:00,7.6264164886,23:55:00,7.932340182,7.8314097009,7.931824941,10374052.18,111596414.42
2023-08-29,10:29:00,6.7701116127,21:49:00,8.0562743672,6.9044753912,7.8333804288,22279661.09,110183154.11
2023-08-28,05:37:00,6.6495559719,23:29:00,6.9275246259,6.819142002,6.9045915453,4307387.0,97093876.69
2023-08-27,22:14:00,6.7821526972,08:55:00,7.1313086268,7.0930735486,6.8172007031,4932930.08,95840979.53
2023-08-26,18:37:00,7.0353962856,03:55:00,7.20022923,7.1239364551,7.0931185296,2750817.0,99694667.58
2023-08-25,04:40:00,6.9679233275,19:01:00,7.1745619817,7.1387712789,7.12395275,4518427.98,100103068.04
2023-08-24,14:46:00,6.9970078786,00:01:00,7.4131950531,7.4088230199,7.1384270575,5571666.93,100280623.31
2023-08-23,13:00:00,7.2224103861,20:28:00,7.5144376515,7.2767970867,7.4084626014,4827021.41,104048153.01
2023-08-22,18:13:00,6.9914143754,23:59:00,7.2760080563,7.1464307927,7.2760080563,4112712.2,102161928.9
2023-08-21,16:04:00,7.0326995393,01:31:00,7.2200114981,7.2057077136,7.1463526541,4183810.19,100316032.09
2023-08-20,16:58:00,7.0964862688,01:03:00,7.3119258507,7.2686252266,7.205153576,3373815.97,101115504.13
2023-08-19,05:42:00,7.1388487706,17:01:00,7.3385444291,7.2323641636,7.2684275143,3516514.77,101977582.57
2023-08-18,00:02:00,7.0880788191,08:13:00,7.3647918289,7.0945243435,7.2320752519,5410412.35,101441788.34
2023-08-17,21:46:00,6.4320402621,03:25:00,7.8820332417,7.7962606392,7.0928563976,8655929.05,99464011.88
2023-08-16,21:16:00,7.5516005651,00:21:00,8.0150757032,8.0003807731,7.7951470927,6606069.17,109284308.27
