date,time_low,low,time_high,high,open,close,volume,market_cap
2023-09-10,19:43:00,3.0698112253,00:00:00,3.2656972183,3.2656972183,3.0975097335,19960955.98,1374448594.5
2023-09-09,14:29:00,3.2586784132,04:33:00,3.3037247965,3.2958813139,3.2655317581,8746541.03,1448975999.49
2023-09-08,17:13:00,3.2717746079,00:59:00,3.3818111846,3.364470053,3.2956995126,13381980.08,1461170711.73
2023-09-07,14:07:00,3.3089757738,00:11:00,3.3860287309,3.3656068694,3.363211384,13829687.29,1490994343.47
2023-09-06,17:07:00,3.2653279599,23:59:00,3.365045704,3.2938150132,3.365045704,17948511.52,1491802334.31
2023-09-05,06:59:00,3.2595220976,15:19:00,3.3188363565,3.2653036339,3.2936174932,14713775.66,1460111254.24
2023-09-04,15:16:00,3.2121514126,03:21:00,3.3369516326,3.2557439845,3.2647079175,15391864.88,1443812715.94
2023-09-03,16:55:00,3.2086206555,07:02:00,3.2787325133,3.2565931898,3.255831208,11483828.4,1439754260.27
2023-09-02,18:33:00,3.2158801505,10:37:00,3.2748698743,3.2382663369,3.2568512028,10460952.71,1440199498.82
2023-09-01,17:16:00,3.1997399025,11:49:00,3.3704290966,3.3408774035,3.238256895,16544501.59,1431975614.27
2023-08-31,17:05:00,3.316972659,11:49:00,3.4930664348,3.4913071286,3.3410155247,25245370.54,1477399600.89
2023-08-30,15:07:00,3.4651984845,00:03:00,3.649848939,3.6486914362,3.4914090118,22612650.98,1543555368.86
2023-08-29,10:40:00,3.4216128902,16:55:00,3.7356830181,3.4862004716,3.6488025773,33126956.52,1613131479.98
2023-08-28,11:53:00,3.4373192588,17:52:00,3.5049309378,3.4879970153,3.4862184209,14508346.56,1541249613.71
2023-08-27,21:58:00,3.4765134553,09:16:00,3.6458529241,3.5516362783,3.4882488619,16157653.22,1542118137.58
2023-08-26,06:17:00,3.4988993967,22:23:00,3.5670847195,3.5100378644,3.5514654797,9139449.18,1570059571.49
2023-08-25,16:10:00,3.4673176869,00:06:00,3.600627224,3.6003915172,3.5101149612,16614482.5,1551766082.28
2023-08-24,16:02:00,3.5191692069,21:55:00,3.6948410612,3.6013037551,3.6006961597,22416063.45,1590369215.92
2023-08-23,13:17:00,3.3735199493,22:40:00,3.6291638918,3.4234967977,3.6012318285,29967206.21,1590603243.35
2023-08-22,21:29:00,3.277027878,09:49:00,3.5212769974,3.4898187709,3.4236996024,20764911.78,1512180490.59
2023-08-21,16:03:00,3.4479211967,01:09:00,3.6014526417,3.5843138205,3.4903316873,15289959.66,1541599374.14
2023-08-20,15:12:00,3.5257811283,20:46:00,3.6009669314,3.5576966811,3.5843796191,11966751.62,1583094053.19
2023-08-19,07:15:00,3.4744173799,17:07:00,3.5625222006,3.504771268,3.5574040643,12318995.79,1571114902.5
2023-08-18,01:17:00,3.3947605214,11:54:00,3.5290905429,3.4122250428,3.5047795244,23931109.02,1547786818.23
2023-08-17,21:46:00,3.2424055122,09:41:00,3.8161274789,3.6990460549,3.4118815188,44193735.09,1506750474.55
2023-08-16,21:16:00,3.6024645227,01:50:00,3.8465076559,3.8286799465,3.6989233008,26052097.51,1633273930.31
2023-08-15,19:10:00,3.6118424883,02:47:00,4.0764017055,4.0544713638,3.8285835168,30438964.62,1690514974.24
2023-08-14,02:22:00,4.0200653932,11:34:00,4.1215801437,4.0315089904,4.0543457434,22015362.03,1790183895.25
