date,time_low,low,time_high,high,open,close,volume,market_cap
2023-09-10,16:52:00,0.0203288394,00:06:00,0.020774746,0.0207733653,0.020407746,12379842.65,181671387.4
2023-09-09,13:49:00,0.0205090412,22:45:00,0.02077334,0.0206865008,0.0207707141,12502991.8,184902558.98
2023-09-08,16:55:00,0.0205295199,05:40:00,0.0208448816,0.0207139924,0.0206863926,18014607.8,184151921.81
2023-09-07,07:47:00,0.0205013141,21:24:00,0.0207617934,0.0205742363,0.0207109609,17570467.74,184370631.03
2023-09-06,17:13:00,0.0202634791,23:59:00,0.0205775783,0.020460446,0.0205775783,16144475.89,183183248.02
2023-09-05,03:24:00,0.0201904867,23:55:00,0.0204699097,0.0202672006,0.0204599518,16908987.14,182136127.85
2023-09-04,15:16:00,0.020139245,03:24:00,0.020433543,0.020297045,0.0202662752,22428602.16,180412003.15
2023-09-03,16:52:00,0.0201641197,06:49:00,0.0203543015,0.0202973371,0.0203009411,34284960.96,180720601.72
2023-09-02,03:03:00,0.0201394647,05:22:00,0.0203357476,0.0201995037,0.0202968627,31190144.89,180684295.13
2023-09-01,18:05:00,0.0200757077,04:55:00,0.0205296877,0.020340043,0.0201982113,30702328.57,179806093.12
2023-08-31,21:10:00,0.0201573896,11:49:00,0.0207118071,0.020596983,0.0203405599,29771694.92,181073291.45
2023-08-30,18:42:00,0.0205452174,00:03:00,0.0210790723,0.0210739914,0.0205979602,31637744.81,183364689.44
2023-08-29,10:56:00,0.0203702386,22:20:00,0.0210830855,0.0205969674,0.0210732405,19872297.96,187595672.43
2023-08-28,10:12:00,0.0204976355,00:07:00,0.0208364593,0.0208333833,0.0205965693,21283931.82,183352307.86
2023-08-27,00:02:00,0.0207735921,17:12:00,0.020933621,0.0208060521,0.0208360531,24620684.49,185484211.71
2023-08-26,00:54:00,0.020660783,16:02:00,0.0208753903,0.0207448305,0.0208065293,24392784.52,185221388.53
2023-08-25,05:16:00,0.0204767174,18:57:00,0.0207595382,0.0206425775,0.0207455064,26282427.87,184678157.71
2023-08-24,20:58:00,0.0205468001,11:24:00,0.0208848803,0.0207926134,0.020642333,33363781.27,183759699.93
2023-08-23,00:15:00,0.0204193392,19:52:00,0.0209993156,0.0204255795,0.0207919022,34110036.6,185091176.63
2023-08-22,21:51:00,0.0201248309,00:12:00,0.020474459,0.0204494274,0.020425112,32581555.56,181825981.19
2023-08-21,16:14:00,0.0201975518,00:49:00,0.0209334161,0.020737602,0.020448834,34694141.93,182037155.77
2023-08-20,00:03:00,0.0201948561,07:07:00,0.0208436907,0.0201956955,0.0207372769,43335082.69,184604897.57
2023-08-19,07:20:00,0.0200635528,16:52:00,0.0203046204,0.0201554156,0.0201940235,31985134.84,179768812.81
2023-08-18,03:52:00,0.0198151819,13:16:00,0.020200599,0.0199156075,0.0201548533,27371071.33,179420116.77
2023-08-17,22:52:00,0.0197891425,04:50:00,0.0211293708,0.0209434017,0.019917626,22034444.35,177308300.15
2023-08-16,23:40:00,0.0209095362,00:35:00,0.0220443788,0.0219290851,0.0209472622,18223792.06,186474203.65
2023-08-15,23:59:00,0.0219282781,00:25:00,0.0226571739,0.022641765,0.0219282781,22183687.96,195207285.89
2023-08-14,02:26:00,0.0225023033,15:46:00,0.0226904504,0.0225850156,0.0226464667,30952483.17,201600658.72
2023-08-13,22:57:00,0.0225642993,00:00:00,0.0228848549,0.0228848549,0.0225842544,32436215.05,201046839.74
2023-08-12,00:00:00,0.0226818584,00:27:00,0.022963645,0.0226818584,0.0228811205,32862321.28,203689565.48
2023-08-11,19:33:00,0.0225498493,04:15:00,0.0227765511,0.0227201046,0.0226791855,32185855.61,201891923.65
2023-08-10,06:48:00,0.0226210535,10:05:00,0.0228453642,0.0226601462,0.0227183686,31983451.84,202240734.64
2023-08-09,22:42:00,0.022616732,00:01:00,0.0228608475,0.0228543917,0.0226614468,56165430.18,201734011.95
2023-08-08,08:02:00,0.0222469278,01:09:00,0.0232981652,0.0232475859,0.0228550145,35592029.32,203457167.69
2023-08-07,16:19:00,0.023020372,00:25:00,0.0236485452,0.0235641648,0.0232465739,31661855.23,206942860.8
