date,time_low,low,time_high,high,open,close,volume,market_cap
2023-09-10,16:52:00,0.4480107966,00:01:00,0.4959485072,0.4959094985,0.4561566595,25611652.37,107846026.07
2023-09-09,14:50:00,0.4934920887,05:37:00,0.5058028971,0.5012347918,0.4958332981,12715830.07,117226121.42
2023-09-08,10:22:00,0.4928240596,00:59:00,0.5172830791,0.5066019166,0.5012087181,16840025.01,118496622.13
2023-09-07,12:52:00,0.4916572715,23:08:00,0.5091201963,0.5054495752,0.5065566551,17291913.67,119744061.66
2023-09-06,15:19:00,0.4957356934,17:58:00,0.5137529722,0.504395075,0.5054774522,17276257.26,119486760.35
2023-09-05,03:46:00,0.491441204,16:16:00,0.5125347879,0.5015989504,0.5044828601,24802562.58,118428971.22
2023-09-04,00:13:00,0.4929162151,03:22:00,0.5200394494,0.4935550154,0.5017329801,35230620.11,117783057.36
2023-09-03,16:55:00,0.4817738627,12:50:00,0.4959488321,0.4934798552,0.4935847131,14838372.99,115869906.36
2023-09-02,18:47:00,0.4818598376,08:14:00,0.4971628153,0.4846905876,0.493476711,23081731.9,115831022.37
2023-09-01,18:40:00,0.4773607812,00:22:00,0.5008452861,0.4962710566,0.4846732375,26777166.63,113652819.26
2023-08-31,21:10:00,0.4909572158,00:00:00,0.5257311418,0.5257311418,0.4962335467,35905702.6,116093172.72
2023-08-30,15:07:00,0.5190805687,00:04:00,0.5541773519,0.5530031753,0.5257305187,44942613.74,117204539.99
2023-08-29,12:10:00,0.4989395683,01:22:00,0.5707711292,0.5676927939,0.552915467,100850848.82,123247747.11
2023-08-28,09:20:00,0.5582206464,12:37:00,0.5762977312,0.5692518269,0.5676917075,14517461.24,126516258.87
2023-08-27,22:16:00,0.5642716893,15:13:00,0.5777805232,0.5724027405,0.5688039448,13975430.9,126764133.03
2023-08-26,00:43:00,0.5677658849,15:06:00,0.5812127724,0.5703199053,0.5724651011,16013404.96,127515094.84
2023-08-25,05:07:00,0.5588741576,00:04:00,0.5833645926,0.5830782946,0.5703242378,21525932.09,127036769.83
2023-08-24,20:58:00,0.5778353386,05:15:00,0.607043175,0.6032184563,0.5830859419,17747774.68,129879373.32
2023-08-23,13:17:00,0.5815967529,16:54:00,0.6094405065,0.5902657798,0.6032011406,19194844.71,134359929.62
2023-08-22,21:29:00,0.5687430491,00:07:00,0.6020701473,0.6010483462,0.5902245127,18936216.01,131468986.88
2023-08-21,15:31:00,0.591105493,01:32:00,0.6160379906,0.6138301968,0.6010474223,22029884.69,133850312.82
2023-08-20,15:13:00,0.6026086622,03:40:00,0.6186217564,0.6127112684,0.613814759,19281237.89,136693536.07
2023-08-19,00:25:00,0.6011387483,17:00:00,0.6220816887,0.6025024757,0.6127344394,23465785.11,136448975.95
2023-08-18,17:27:00,0.5834590931,23:10:00,0.6043069161,0.5903753423,0.602471878,31967650.07,134163034.95
2023-08-17,21:46:00,0.5445566085,06:04:00,0.6795732226,0.6626750029,0.5901834749,35268457.44,131356026.03
2023-08-16,21:58:00,0.6498809885,03:08:00,0.7237819793,0.718290101,0.6626061168,31898361.61,147449189.2
2023-08-15,19:43:00,0.710457472,00:29:00,0.7779102736,0.7772916107,0.7183022114,30156829.31,159842234.67
