date,time_low,low,time_high,high,open,close,volume,market_cap
2023-09-10,18:06:00,2.4023937638,01:45:00,2.4562509661,2.4467197244,2.4083188739,3328620.37,242541394.01
2023-09-09,14:28:00,2.4386641538,01:50:00,2.463306762,2.4448275181,2.4466955179,1494812.68,246406299.46
2023-09-08,23:58:00,2.4428650273,00:49:00,2.522202092,2.5089667904,2.4448196739,2770044.91,246217383.52
2023-09-07,19:25:00,2.4985260175,01:49:00,2.5441550027,2.5299837369,2.508922497,1970150.51,252673168.19
2023-09-06,19:08:00,2.505199184,03:16:00,2.5813559834,2.5695292815,2.5299437463,2025586.33,254790214.73
2023-09-05,03:31:00,2.5146284848,15:24:00,2.5794455136,2.5406203441,2.5697669783,2751681.68,258800805.81
2023-09-04,21:40:00,2.5262075171,03:40:00,2.5960432454,2.5856440116,2.5406459645,1881358.92,255868033.34
2023-09-03,17:02:00,2.5620616794,10:17:00,2.6083882966,2.6005380346,2.5856956327,2577424.86,260404977.95
2023-09-02,18:22:00,2.5820114679,08:01:00,2.6456442726,2.6229675916,2.6008732663,2995880.88,261933514.91
2023-09-01,19:11:00,2.5698773904,03:47:00,2.7499859915,2.7397520807,2.622947686,5436102.64,264156626.06
2023-08-31,21:10:00,2.7089969011,01:01:00,2.8700351999,2.8656545683,2.7397168364,3921423.89,275916427.81
2023-08-30,03:42:00,2.8014397253,16:17:00,2.873536315,2.8410919366,2.8656675818,3214163.67,288600906.47
2023-08-29,10:37:00,2.7626861082,14:46:00,2.8871545282,2.7766377691,2.8411386128,4581497.67,286130598.07
2023-08-28,09:43:00,2.7712557732,00:00:00,2.8042935453,2.8042935453,2.7766412963,2335128.02,279635084.04
2023-08-27,04:18:00,2.7919366364,14:50:00,2.8261271148,2.7932542856,2.8042956397,2578509.22,282420148.37
2023-08-26,00:19:00,2.7590570091,02:18:00,2.7992680516,2.764223028,2.7932687388,2364857.3,281309631.01
2023-08-25,15:05:00,2.7301843155,02:50:00,2.7774812718,2.7733975877,2.7642377132,2773749.15,278385921.23
