date,time_low,low,time_high,high,open,close,volume,market_cap
2023-09-10,06:03:00,0.2839195063,10:13:00,0.3025256131,0.2894476159,0.2988026006,6039975.87,128202831.23
2023-09-09,11:00:00,0.2824658685,02:57:00,0.292395751,0.2898062485,0.2894412823,3515347.81,124175664.4
2023-09-08,16:55:00,0.2876396222,01:40:00,0.3052962517,0.2989337326,0.289814359,3485005.73,124332171.61
2023-09-07,13:59:00,0.2916735642,04:04:00,0.3021755321,0.3009763176,0.2988922677,3716979.53,128226253.27
2023-09-06,17:09:00,0.2947132491,00:13:00,0.3120636595,0.3118915947,0.3009453564,3877101.72,129068190.46
2023-09-05,03:26:00,0.3040315057,15:55:00,0.3245840123,0.3065093886,0.3118898468,5812099.88,133442567.99
2023-09-04,12:25:00,0.3003876291,01:17:00,0.316268202,0.3121603479,0.3065221485,3977170.07,131135246.14
2023-09-03,00:05:00,0.2931459775,15:13:00,0.338610291,0.2936566893,0.3121759866,13594015.12,133549116.9
2023-09-02,09:10:00,0.2871059421,15:23:00,0.2997157222,0.2917796713,0.2936700901,3538185.95,125627047.88
2023-09-01,23:14:00,0.2902017216,02:13:00,0.3158701886,0.3092901779,0.2918575369,5226081.52,124748169.41
2023-08-31,17:04:00,0.3076734149,00:07:00,0.3527164927,0.3448044477,0.3092830576,8989514.31,132041330.5
2023-08-30,03:26:00,0.2949830755,19:15:00,0.3616538019,0.2971760802,0.3447767367,23905782.45,147179500.0
2023-08-29,14:00:00,0.2849774635,14:46:00,0.3059662575,0.2992742749,0.2972000307,4419952.56,126540876.62
2023-08-28,10:16:00,0.2895901393,13:49:00,0.3058479427,0.3049455734,0.2992940638,4040111.64,127430764.57
2023-08-27,23:45:00,0.3047770949,17:23:00,0.3156939044,0.3124549284,0.3049458048,4101791.79,129833573.61
2023-08-26,00:12:00,0.2937460199,07:11:00,0.3258919518,0.2941970806,0.3124818601,13034613.77,132884657.32
2023-08-25,06:58:00,0.2810636926,00:04:00,0.3035185454,0.3033006739,0.2941957547,6498874.03,125100518.6
2023-08-24,21:34:00,0.3026690506,00:02:00,0.3417907828,0.3415613664,0.3033031456,5127706.81,128936290.4
2023-08-23,13:41:00,0.3123803489,23:52:00,0.3421934691,0.3304244148,0.3414659923,6557655.65,144909581.84
2023-08-22,21:29:00,0.3178184096,04:11:00,0.3716762849,0.3499551263,0.3303956106,11309570.0,140209836.78
2023-08-21,11:15:00,0.3229733404,00:49:00,0.3562073701,0.3475483142,0.350739219,9756553.38,148749430.97
2023-08-20,00:00:00,0.3136699112,07:35:00,0.3655636058,0.3136699112,0.3475342518,23579126.47,147254095.83
2023-08-19,07:01:00,0.2933562032,15:17:00,0.3371470662,0.3087730375,0.3135751054,16162979.78,132848267.81
2023-08-18,04:52:00,0.2676374611,20:25:00,0.3237226969,0.2733154974,0.3087156998,17068724.54,130789235.64
2023-08-17,22:17:00,0.2539892556,05:47:00,0.3403362233,0.3003958309,0.2733057541,14685291.34,115785537.36
2023-08-16,14:59:00,0.2962283573,00:00:00,0.329219527,0.329219527,0.3004514868,10959920.92,127203269.72
2023-08-15,19:43:00,0.3273198098,05:41:00,0.4171324104,0.35390415,0.3293102766,39340039.79,139419944.9
2023-08-14,10:54:00,0.3073865893,17:43:00,0.3696130509,0.3326849012,0.3537454365,27460770.39,149717466.02
2023-08-13,00:05:00,0.2849761448,19:13:00,0.3667405129,0.285194149,0.3326517472,38777401.08,140727167.13
2023-08-12,00:23:00,0.2574179134,23:01:00,0.294887017,0.2579655645,0.2851746487,7806883.96,120617340.27
2023-08-11,23:51:00,0.257675207,00:41:00,0.2814285367,0.2692809324,0.2579690054,7939152.32,109110433.98
2023-08-10,09:42:00,0.2376937601,23:59:00,0.2690694114,0.2436241255,0.2690694114,5323736.79,113677827.31
2023-08-09,20:09:00,0.2387490934,09:47:00,0.2695243053,0.2514528938,0.2436083873,10623811.52,102557742.2
2023-08-08,01:45:00,0.2199442601,22:48:00,0.2663837134,0.2232869726,0.2513785778,13977577.63,105374893.76
2023-08-07,16:19:00,0.2166819264,12:30:00,0.2430120191,0.2308855548,0.2231516063,8954102.71,93508783.64
2023-08-06,20:28:00,0.2282269429,00:07:00,0.2890958619,0.2772207287,0.2308453037,21909202.49,96692418.98
2023-08-05,04:37:00,0.2075842511,23:55:00,0.2798172256,0.2120812214,0.276302814,26554583.1,115983419.05
2023-08-04,00:16:00,0.1951666813,08:16:00,0.2222185953,0.1954108816,0.2120579615,13422500.95,88990915.43
2023-08-03,09:51:00,0.1888783165,16:18:00,0.197541697,0.1929784423,0.1954023245,2236484.51,82099855.39
2023-08-02,04:23:00,0.1910709665,15:52:00,0.2150246806,0.194754742,0.1929437099,8910209.32,81061411.26
2023-08-01,03:57:00,0.1823926075,22:01:00,0.1953916044,0.1886141519,0.1947586229,2649749.99,81821956.53
2023-07-31,21:08:00,0.1865134208,05:46:00,0.1946268834,0.192249229,0.1886168488,1598390.75,79230908.6
2023-07-30,20:08:00,0.1904631212,01:10:00,0.1994753626,0.1991701737,0.1922117137,1654006.3,80723431.65
2023-07-29,04:07:00,0.1982706779,13:14:00,0.2008094386,0.1993909661,0.1990687483,1531217.71,83580531.23
2023-07-28,08:15:00,0.1970206839,01:08:00,0.2012412638,0.1996675244,0.19940756,2489352.42,83707676.19
2023-07-27,00:59:00,0.1944503472,09:55:00,0.2020395794,0.1958214991,0.1996435037,2929065.23,83657300.16
2023-07-26,22:07:00,0.1936333395,16:29:00,0.2140147566,0.2051006738,0.1958282764,6275798.9,82562516.46
2023-07-25,00:13:00,0.192661773,11:10:00,0.2169082936,0.1931739299,0.2051010229,10264794.85,86586200.06
2023-07-24,14:41:00,0.1849882115,00:00:00,0.1982843029,0.1982843029,0.1931494148,3343394.45,81540537.83
2023-07-23,12:47:00,0.1951064479,20:16:00,0.2016559064,0.1976590871,0.1983769601,2357450.3,83739337.8
2023-07-22,23:39:00,0.1967506726,03:32:00,0.2102584989,0.2094710388,0.1976651909,2484506.97,83437922.75
2023-07-21,13:50:00,0.2058866948,06:16:00,0.2375792723,0.2172171222,0.2094932595,9930156.99,88421472.41
2023-07-20,08:06:00,0.1947812762,13:47:00,0.2670784984,0.2014096552,0.2171189062,28128561.88,91632281.9
2023-07-19,00:29:00,0.1862522604,04:40:00,0.2185406686,0.1888702318,0.201582251,15194735.14,85073054.82
2023-07-18,00:01:00,0.1779044465,23:49:00,0.1904308637,0.1779773132,0.1888507262,4188616.07,79638912.61
2023-07-17,18:52:00,0.1750134119,05:32:00,0.1808539173,0.1779598868,0.1779915816,2400829.06,75044605.87
2023-07-16,23:53:00,0.1778913558,12:06:00,0.1906599484,0.1883111002,0.177974851,2313755.46,71308438.09
2023-07-15,05:52:00,0.1863945708,10:56:00,0.1899983579,0.1881990376,0.188329845,1260090.84,75452945.1
2023-07-14,19:08:00,0.1836449009,14:01:00,0.1959285157,0.1902741213,0.1885956028,2211068.89,75558726.88
2023-07-13,04:19:00,0.1784350031,23:49:00,0.1903181428,0.1801992921,0.1897560331,1860808.79,76022519.87
2023-07-12,22:33:00,0.1794072543,13:25:00,0.1841342275,0.1834208863,0.1801986335,1402373.35,72191156.26
2023-07-11,19:17:00,0.1813628706,06:37:00,0.1867605102,0.184904374,0.183423711,1417333.58,73354795.56
