date,time_low,low,time_high,high,open,close,volume,market_cap
2023-09-10,18:02:00,141.8271871079,22:37:00,143.792277871,143.4090322559,142.8944438971,33705148.09,2619264617.28
2023-09-09,19:26:00,142.324239038,09:40:00,144.0018164567,143.895945501,143.4068077206,35896666.46,2628590714.54
2023-09-08,11:08:00,140.928948092,01:03:00,144.1243404188,143.2573636701,143.8861599948,46927009.4,2637316019.02
2023-09-07,09:11:00,141.168930392,23:50:00,143.2759488399,142.1071172956,143.2507523844,62422430.8,2625604279.74
2023-09-06,02:34:00,137.6355373994,22:13:00,142.6449904988,137.7802486161,142.1132412303,67734043.5,2604696737.14
2023-09-05,22:13:00,137.6732818793,00:18:00,141.2991782009,141.1766764098,137.7813768416,54468001.59,2525240930.34
2023-09-04,01:37:00,140.7762838561,07:25:00,143.7701982343,140.8428082597,141.1708729987,63835398.17,2587284192.79
2023-09-03,08:27:00,139.2974762907,22:50:00,141.3919687608,140.0885190729,140.8399846628,49564266.23,2581180178.55
2023-09-02,20:22:00,139.2657862819,08:08:00,141.6281541153,140.8212129083,140.07777442,51308059.3,2567150187.39
2023-09-01,19:53:00,139.1281020028,05:15:00,144.6171942816,142.9765608634,140.8216660732,68834515.86,2580722023.78
2023-08-31,17:04:00,140.9955240948,14:07:00,144.6332857812,141.9991331439,142.971215983,92560648.82,2620051908.43
2023-08-30,19:12:00,140.8820967229,09:19:00,148.1521532623,146.8414026221,141.9747949716,87057473.38,2601730263.29
2023-08-29,09:38:00,143.0158365232,14:46:00,148.3677228391,145.2431207586,146.8378738152,78887119.03,2690784898.14
2023-08-28,16:43:00,142.7028169703,05:21:00,146.5141792638,145.3587727624,145.245319255,81936691.06,2661540629.67
2023-08-27,02:43:00,142.7776639417,20:24:00,145.7107001489,142.9812097751,145.3603831388,62152299.94,2663585793.4
2023-08-26,00:00:00,139.9676205115,14:56:00,144.8639406711,139.9676205115,142.9748757557,78233910.18,2619811098.31
2023-08-25,14:50:00,137.159901362,23:00:00,140.169156264,138.4122988693,139.902957387,62511771.52,2563461708.98
2023-08-24,18:42:00,135.8259736459,00:01:00,143.0503369426,142.9617384168,138.4013549454,82925509.39,2535888011.49
2023-08-23,13:13:00,142.5886140514,07:29:00,146.2449608875,145.3987126084,142.9551064143,67806763.65,2619261868.36
2023-08-22,22:10:00,143.5437397983,00:26:00,149.758362128,149.5556878537,145.4178940591,68550650.56,2664322905.12
2023-08-21,15:31:00,145.1746382539,22:13:00,149.6521762098,147.2899904998,149.551431414,67633621.81,2739993102.98
2023-08-20,07:03:00,143.57807423,13:14:00,149.037944726,144.2328081544,147.2947140591,61194258.71,2698582167.18
2023-08-19,22:09:00,143.1477252716,16:01:00,145.1837146346,143.4959623757,144.2308080517,46899245.6,2642386819.12
2023-08-18,17:26:00,141.3223254344,02:19:00,145.0751557207,141.7125883701,143.4873958915,74321961.02,2628717945.87
2023-08-17,21:46:00,137.6755223853,01:19:00,154.5052185731,153.9218955969,141.6912341018,95580859.32,2595743123.82
2023-08-16,21:16:00,152.9180886479,15:58:00,156.1794840614,155.2610749332,153.9242351975,91925932.38,2819780068.25
2023-08-15,20:05:00,154.9384617324,10:55:00,158.5467289168,158.3309351418,155.2610926327,70108160.54,2844202227.36
2023-08-14,00:44:00,158.0034523159,16:43:00,159.7809325118,158.2295016332,158.3087872079,91093262.85,2899965569.87
2023-08-13,01:33:00,157.1018905082,19:21:00,159.5633302603,157.7503975182,158.2277278014,75273703.06,2898414140.04
2023-08-12,14:19:00,156.5753663539,20:07:00,158.0399903276,156.7890621406,157.7232888551,75281080.35,2889107020.25
2023-08-11,04:18:00,155.8658420711,12:09:00,157.8862418193,155.9870294712,156.7930095029,81873241.54,2871995162.14
2023-08-10,18:39:00,154.4073007079,02:20:00,157.4541912053,157.1995627314,155.9933719317,97252803.1,2857281564.37
2023-08-09,21:16:00,156.6182182411,08:07:00,159.5029324257,158.878531373,157.2031339716,78453874.74,2879379746.51
2023-08-08,02:16:00,157.7830652889,18:21:00,160.0852030111,158.2737876086,158.8878685102,85841742.94,2910173596.23
2023-08-07,16:19:00,157.2935135834,03:32:00,160.6263800976,159.6248754643,158.2868605845,82770526.34,2899095224.38
2023-08-06,17:22:00,159.2291478908,11:58:00,160.9068797741,159.517976764,159.6278232208,72981324.51,2923587079.49
2023-08-05,16:52:00,157.8441142872,10:13:00,161.1367990481,158.4111167782,159.5097939697,86465173.75,2921355027.43
2023-08-04,20:52:00,157.3433364027,11:52:00,161.7005571661,160.3458331734,158.4090990939,99473749.05,2901127734.33
2023-08-03,01:08:00,159.7648382099,04:28:00,161.5696319832,159.8766564539,160.3585732047,85629318.68,2936763053.66
2023-08-02,06:18:00,159.2108445396,01:31:00,160.8964333864,160.2406425952,159.848999859,81942143.65,2927358359.51
2023-08-01,16:31:00,157.59417286,09:16:00,163.4205070602,161.2644434859,160.2650502923,117119417.03,2934908082.94
2023-07-31,20:07:00,159.7637245787,23:46:00,161.766725171,160.2712980076,161.2571296956,61802656.51,2953004082.11
2023-07-30,20:04:00,158.6033440319,02:04:00,163.7192807381,163.1997716708,160.2624507637,52968178.9,2934720762.3
2023-07-29,12:54:00,162.194846696,03:08:00,164.1487997112,163.2673759383,163.2044307868,73361895.33,2988525462.75
