date,time_low,low,time_high,high,open,close,volume,market_cap
2023-08-31,21:10:00,1.1454569501,00:01:00,1.2035312353,1.2034482702,1.1548599032,50281392.96,1087498676.96
2023-08-30,15:07:00,1.1902702533,00:15:00,1.2302445763,1.2265625916,1.2033739711,41313074.26,1133182992.93
2023-08-29,10:39:00,1.162671416,14:46:00,1.2536061401,1.1936044909,1.2262220124,66899816.31,1154698342.58
2023-08-28,08:35:00,1.1502652278,15:36:00,1.1980670595,1.1774153101,1.1937183206,40325468.48,1124090541.8
2023-08-27,22:15:00,1.1709425376,08:04:00,1.2243460334,1.1915393401,1.1773964864,52494086.99,1108720735.43
2023-08-26,17:30:00,1.1877890254,07:11:00,1.2056831613,1.1896379929,1.1915270397,37466286.29,1122027075.06
2023-08-25,05:05:00,1.1601005278,00:13:00,1.2108311169,1.1943612173,1.1897082824,47022915.54,1120314403.12
2023-08-24,20:58:00,1.1731025279,04:49:00,1.2158031916,1.2090562476,1.194301543,50349254.72,1124639745.75
2023-08-23,04:07:00,1.1458766826,20:28:00,1.2285838354,1.1687267938,1.2089295478,76070809.5,1138414521.2
2023-08-22,18:13:00,1.0984485832,23:58:00,1.1687049183,1.1315147934,1.1686127832,63904818.84,1100449372.39
2023-08-21,15:31:00,1.1227340738,01:09:00,1.1722643769,1.1694602413,1.1318595097,44208554.41,1065839861.55
2023-08-20,15:13:00,1.1512122358,20:47:00,1.1753659834,1.1639021916,1.1695643583,29180301.56,1101345443.48
2023-08-19,02:01:00,1.1315019864,16:59:00,1.188829262,1.142676675,1.1639132614,44081369.91,1096023966.51
2023-08-18,03:02:00,1.1123169791,10:09:00,1.1522049917,1.1213637569,1.1425288329,61700027.83,1075886859.28
2023-08-17,21:46:00,1.0427971101,06:01:00,1.2249245632,1.2086159918,1.1212565675,95107823.3,1055855372.85
2023-08-16,21:59:00,1.1909834973,02:23:00,1.2883927238,1.280352049,1.2086505476,70635245.41,1138151794.69
2023-08-15,19:10:00,1.2593518727,01:13:00,1.3395266436,1.3358900446,1.2802501727,54227210.72,1205575122.27
2023-08-14,19:08:00,1.3289675113,05:47:00,1.3518273469,1.3402168745,1.335793965,42477636.02,1257879129.45
2023-08-13,06:12:00,1.3338960343,20:05:00,1.3558294639,1.3431221563,1.3401999978,41290407.59,1262028165.05
