date,time_low,low,time_high,high,open,close,volume,market_cap
2023-08-31,23:31:00,1.2430709449,11:48:00,1.2948271769,1.2880350077,1.24423956,17933515.06,259586278.7
2023-08-30,15:07:00,1.282659459,00:07:00,1.3091725012,1.3080637582,1.2880004689,14068684.44,268324273.26
2023-08-29,10:40:00,1.2616830755,14:46:00,1.3344982326,1.274391036,1.3080078077,21507175.79,272399686.15
2023-08-28,08:37:00,1.2553860932,23:27:00,1.2748318671,1.2731947169,1.2743054754,12319227.31,271624049.65
2023-08-27,03:47:00,1.2661862605,14:39:00,1.2791950197,1.2662609062,1.2731413028,10358065.2,282215446.47
2023-08-26,23:27:00,1.2656620858,00:28:00,1.2818714285,1.2778457867,1.2662814168,9498164.48,280632551.0
2023-08-25,05:09:00,1.258658368,00:05:00,1.2829568656,1.2795983798,1.2778351729,13555466.11,283057029.84
2023-08-24,01:19:00,1.2653193576,11:31:00,1.2924367044,1.2710241417,1.2794405556,20673302.85,273586749.99
2023-08-23,00:00:00,1.2414597653,19:52:00,1.2822651627,1.2414597653,1.2711221092,17217320.78,271763349.74
2023-08-22,21:43:00,1.2275345005,09:49:00,1.2791353534,1.2767127639,1.2412964972,25695514.61,265310046.11
2023-08-21,15:37:00,1.2621708167,01:31:00,1.3197498568,1.3158509992,1.2770142541,22429601.08,272831466.49
2023-08-20,07:01:00,1.3077256353,00:28:00,1.3224920195,1.320215251,1.3158040151,11007655.95,292007600.41
2023-08-19,07:34:00,1.3020542603,16:59:00,1.3272200562,1.3152402837,1.3200371116,16982541.62,292894603.6
2023-08-18,17:23:00,1.3111709385,00:17:00,1.3487334898,1.3427889757,1.3153123246,23698543.12,282530425.3
2023-08-17,21:52:00,1.3152508948,00:00:00,1.4227649847,1.4227649847,1.3426235584,28596914.83,288277082.37
2023-08-16,21:24:00,1.4168018127,00:28:00,1.4597218237,1.4572513714,1.4224503627,19685585.39,305195695.07
2023-08-15,20:14:00,1.4534511666,01:15:00,1.4903085687,1.4901208902,1.4574853255,23430200.02,312818118.69
2023-08-14,02:24:00,1.4680000525,23:42:00,1.4904055687,1.4714016688,1.4900117664,19824218.71,319487330.9
2023-08-13,00:43:00,1.4583298824,20:08:00,1.4824595414,1.4592808975,1.4713103029,20417961.04,314272237.73
2023-08-12,00:16:00,1.458782338,15:36:00,1.4689212912,1.4603629314,1.4593106414,11140146.04,311715125.62
2023-08-11,18:49:00,1.4536390401,01:30:00,1.4747711871,1.4706588252,1.4606097497,13397187.11,311702534.19
2023-08-10,22:19:00,1.4688043571,01:42:00,1.4919747189,1.4898335423,1.4705552066,14285911.84,313655963.96
2023-08-09,18:16:00,1.4846354146,00:16:00,1.5009484759,1.5004542157,1.4898851344,17499683.56,317797252.18
2023-08-08,00:39:00,1.4800772723,18:28:00,1.5144474981,1.4810611981,1.5004989354,18005025.42,319327780.93
2023-08-07,17:36:00,1.4741824497,06:00:00,1.5021960786,1.488184162,1.4814194826,24004104.82,314319131.22
2023-08-06,23:53:00,1.4874967522,08:49:00,1.5048427613,1.494376269,1.488807043,15599952.95,315280785.42
2023-08-05,15:28:00,1.4883527039,00:01:00,1.5029747106,1.502176167,1.4943127352,13667833.26,316349291.97
2023-08-04,20:52:00,1.4989604196,06:31:00,1.5181080945,1.5077873502,1.5021170012,16209523.67,317881276.22
2023-08-03,09:18:00,1.4939107642,17:15:00,1.5133690974,1.5096435537,1.5080404813,16278222.22,319016820.15
2023-08-02,16:59:00,1.4943990646,01:37:00,1.5538032945,1.5470515957,1.5096266135,24775520.65,319347954.19
2023-08-01,04:32:00,1.5255250995,07:49:00,1.560404343,1.552561195,1.5470537579,39438872.88,328567695.85
2023-07-31,00:22:00,1.493372314,14:55:00,1.5912070668,1.495316186,1.5527910472,86020650.59,330561912.41
2023-07-30,20:15:00,1.491564676,00:00:00,1.5103797726,1.5103797726,1.4955926428,15092512.47,325172462.63
2023-07-29,15:50:00,1.5036856221,02:03:00,1.5165271322,1.513733606,1.5103214107,12000153.27,326752958.16
2023-07-28,05:58:00,1.4907747868,21:08:00,1.5166841041,1.4949633559,1.5136670363,20959447.67,327084169.89
2023-07-27,00:54:00,1.4791794621,10:04:00,1.5022537911,1.4800744484,1.494909278,15857319.73,314666170.06
2023-07-26,02:00:00,1.4689859115,21:22:00,1.4867747859,1.484522661,1.479933386,20073555.75,311414525.32
2023-07-25,15:10:00,1.4796645026,00:01:00,1.4963533201,1.4960750895,1.484646779,14198663.07,312380146.81
2023-07-24,16:22:00,1.484629884,00:58:00,1.5364627055,1.5353744424,1.496050532,21017214.3,314537150.06
2023-07-23,00:16:00,1.522252068,19:17:00,1.5421533836,1.5241746792,1.5354502557,11123616.09,322323185.34
2023-07-22,23:50:00,1.5218160116,03:23:00,1.5520740584,1.5405977316,1.5244743156,13827494.61,320018399.82
2023-07-21,00:40:00,1.5366402287,12:58:00,1.5522177398,1.5394458476,1.540781629,17574712.8,323212015.65
2023-07-20,15:03:00,1.5096428309,23:26:00,1.5406927252,1.5162630881,1.5394357934,26588080.57,322159301.66
2023-07-19,17:07:00,1.5095889217,05:39:00,1.5306907362,1.5109673888,1.5162890144,15222969.73,317312489.06
2023-07-18,17:07:00,1.5073976573,02:52:00,1.5594235275,1.5482866521,1.5109078715,25605773.73,316138016.26
2023-07-17,00:57:00,1.4938556285,09:10:00,1.5715258107,1.5037912734,1.5482626948,46397295.82,337021464.86
2023-07-16,23:57:00,1.5035005445,01:32:00,1.5437378045,1.5407241096,1.5037373267,16949007.39,313740526.35
2023-07-15,18:27:00,1.5392665827,09:32:00,1.5781785034,1.5547930671,1.5406436805,23300302.32,321444397.53
2023-07-14,19:07:00,1.5347866854,04:40:00,1.6373567473,1.5811580673,1.5547657742,58509654.96,324033443.47
2023-07-13,05:10:00,1.4780102816,18:16:00,1.5872462675,1.4864644316,1.5812627867,39207486.59,329372245.52
2023-07-12,20:01:00,1.4627936853,03:11:00,1.5102034146,1.5020530036,1.4867045593,19145164.08,309569231.97
2023-07-11,21:34:00,1.496354179,06:52:00,1.5225185371,1.5132526625,1.5021504686,20038092.89,313345544.87
2023-07-10,08:37:00,1.44383026,17:20:00,1.5232862521,1.4572945851,1.5130083531,35275143.81,315494443.52
2023-07-09,20:46:00,1.4533446429,01:15:00,1.4716047084,1.4670228781,1.457461959,11190000.61,310558389.26
2023-07-08,20:22:00,1.4600913362,02:26:00,1.4855964917,1.4747701506,1.4669460992,15428375.98,312472600.51
2023-07-07,00:05:00,1.4520298729,16:16:00,1.4776657529,1.4565183624,1.4748140891,13265598.38,313875502.3
2023-07-06,23:40:00,1.4560024211,09:22:00,1.5432051226,1.5131540041,1.4564220242,23093361.21,309904274.81
2023-07-05,15:42:00,1.5031846469,04:31:00,1.5605443717,1.5522324133,1.5131112546,25315905.7,314752019.55
2023-07-04,19:42:00,1.547237187,00:47:00,1.5953558607,1.5947511814,1.5520754259,21557591.62,322588043.89
2023-07-03,00:43:00,1.5776358682,10:11:00,1.6131348161,1.5797859769,1.5948492851,25153666.91,331399295.9
2023-07-02,04:23:00,1.5727394502,00:55:00,1.6003698859,1.597068151,1.5796747265,19662006.16,332275118.32
2023-07-01,04:26:00,1.5550555763,15:22:00,1.6056117776,1.5598402466,1.5975997548,22291551.18,335831262.02
2023-06-30,01:10:00,1.4814740413,13:29:00,1.5769334633,1.4859701867,1.5598963644,37029352.53,327954740.87
2023-06-29,03:05:00,1.4643280789,12:33:00,1.4959507223,1.4675620818,1.4866332552,19628296.16,312542876.64
2023-06-28,19:46:00,1.4470154475,00:00:00,1.5473200367,1.5473200367,1.4673565658,28798901.97,307756745.33
2023-06-27,01:20:00,1.5277648044,08:31:00,1.5586844141,1.5330315499,1.5471921583,21782307.53,319168093.01
2023-06-26,22:13:00,1.5228480397,00:58:00,1.6194180903,1.6125811786,1.5328472562,40676701.74,316222466.15
2023-06-25,01:11:00,1.4148441468,17:16:00,1.6401893381,1.4208691932,1.6126231098,90156045.89,345315632.86
2023-06-24,16:07:00,1.3930959449,12:46:00,1.4556809675,1.4343681943,1.4209140818,24991070.07,302724606.66
2023-06-23,02:22:00,1.4043943632,16:16:00,1.4496146979,1.4087803593,1.4342663687,24951132.15,295947289.96
2023-06-22,23:07:00,1.4044107973,05:05:00,1.4752977371,1.4323337118,1.4086565352,28559453.82,290504244.96
2023-06-21,11:22:00,1.4038054268,16:37:00,1.4429333207,1.4095171571,1.4324497173,31039654.08,295301320.46
2023-06-20,14:31:00,1.3703310542,23:56:00,1.4105133725,1.3952266431,1.4093634855,18695275.4,290278416.17
2023-06-19,16:37:00,1.3786054131,13:56:00,1.404459762,1.4026452258,1.3950881772,14107685.92,286965619.97
2023-06-18,23:03:00,1.3996058389,10:37:00,1.4377046951,1.425377074,1.4026137471,12194047.24,292891164.57
2023-06-17,01:52:00,1.3897041834,06:25:00,1.4477451774,1.3960917793,1.4254190773,14209307.36,297571880.69
2023-06-16,00:11:00,1.3480727674,18:17:00,1.4152297294,1.3510600328,1.3961411052,21121830.51,291208741.34
2023-06-15,11:31:00,1.3271180268,01:04:00,1.3725164147,1.3587041361,1.3510483407,19478076.32,281597397.86
2023-06-14,21:01:00,1.3444524746,04:19:00,1.4428237336,1.3994226438,1.3587058526,22114121.23,277369768.37
