date,time_low,low,time_high,high,open,close,volume,market_cap
2023-09-10,16:52:00,0.1504212672,00:00:00,0.1602812152,0.1602812152,0.1513526095,17969155.68,179610660.61
2023-09-09,14:46:00,0.1592653136,03:09:00,0.1617929384,0.1616521626,0.1602843776,7879724.34,190017743.28
2023-09-08,10:19:00,0.1593241849,08:01:00,0.1632821707,0.1612076609,0.1616418316,12295481.16,178496305.96
2023-09-07,11:54:00,0.1568660177,21:22:00,0.1617032504,0.1592366251,0.1612052023,11809169.59,178039463.75
2023-09-06,17:07:00,0.1562729609,17:59:00,0.1613515514,0.1579663597,0.1592468612,16751029.59,175793067.3
2023-09-05,03:16:00,0.1537635913,16:16:00,0.1589652223,0.1551307683,0.157953492,14118076.08,174301630.97
2023-09-04,22:37:00,0.1535100617,03:21:00,0.1575249818,0.1550756118,0.1551300515,12766848.27,171108895.37
2023-09-03,16:53:00,0.1529665727,05:37:00,0.1568747109,0.1550423154,0.155075324,11241142.64,170971705.53
2023-09-02,18:32:00,0.1527016007,08:16:00,0.1564892343,0.1547102154,0.1550398433,12594911.22,170860008.21
2023-09-01,18:38:00,0.1539846757,00:50:00,0.159126914,0.1580641434,0.1547074633,15169128.51,170417005.83
2023-08-31,17:22:00,0.1572612646,11:49:00,0.1667078302,0.1646819274,0.158064579,23075728.18,174043665.57
2023-08-30,15:07:00,0.1622810142,00:04:00,0.1685244405,0.1682144211,0.1647133071,18735185.72,181291259.38
2023-08-29,10:36:00,0.1540796425,22:16:00,0.1690450409,0.1624950525,0.1682155399,40409271.03,185067350.78
2023-08-28,08:37:00,0.1588017953,00:19:00,0.1672279562,0.1667790692,0.1624989436,23430132.77,178701255.0
2023-08-27,03:02:00,0.1634619393,23:18:00,0.1670266883,0.1648768797,0.16678253,10629141.19,183334834.45
2023-08-26,18:49:00,0.1643695598,00:03:00,0.1680675981,0.1679990911,0.1648906237,9374339.24,181173913.54
2023-08-25,14:58:00,0.16567177,02:31:00,0.17057499,0.1700040412,0.1679964374,14461809.97,184504985.6
2023-08-24,20:58:00,0.1682360141,05:08:00,0.1723902534,0.171400474,0.1700017696,12935396.78,186617482.62
2023-08-23,00:00:00,0.1654085524,19:58:00,0.1721491203,0.1654085524,0.1713813134,13089194.15,188053955.11
2023-08-22,21:31:00,0.1603056548,08:05:00,0.1680289613,0.1662643179,0.1654070583,13941540.93,181422643.42
2023-08-21,16:58:00,0.1633776221,05:37:00,0.168622408,0.1681165522,0.1662662747,13411218.18,182304203.18
2023-08-20,06:30:00,0.1665279606,20:47:00,0.1692778356,0.1680164315,0.1681286623,10634346.33,184288579.97
2023-08-19,00:22:00,0.1638165462,17:01:00,0.169403541,0.1640051489,0.1680107742,12194241.63,184090899.64
2023-08-18,00:04:00,0.1589525507,18:52:00,0.1669429025,0.1593509201,0.1640110502,21789206.71,179661017.18
2023-08-17,21:48:00,0.1530838938,03:49:00,0.181356449,0.1788526651,0.1593448331,38121476.43,174490223.29
2023-08-16,21:16:00,0.1763121283,00:00:00,0.1931482348,0.1931482348,0.1788524409,33333719.43,195775594.47
2023-08-15,19:10:00,0.1869945169,01:16:00,0.2043078511,0.2040979312,0.1931476509,29365203.06,211338674.49
