date,time_low,low,time_high,high,open,close,volume,market_cap
2023-09-10,19:43:00,0.077872775,00:00:00,0.0791510547,0.0791510547,0.078327728,118374750.23,6990176522.24
2023-09-09,13:55:00,0.078730541,23:07:00,0.0791761158,0.0791221172,0.0791491954,95346936.31,7063983385.51
2023-09-08,11:11:00,0.0783637764,00:58:00,0.0794470889,0.0790506175,0.0791245613,128452654.18,7062304097.75
2023-09-07,13:06:00,0.0787085689,16:28:00,0.0792944867,0.0788630344,0.0790408869,156830178.98,7055582822.96
2023-09-06,13:28:00,0.0773651515,23:58:00,0.0788610181,0.0774224517,0.0788600898,191576576.34,7040142898.06
2023-09-05,03:13:00,0.0771061261,16:13:00,0.077715063,0.0774326217,0.0774181807,137744760.47,6912136212.2
2023-09-04,13:04:00,0.0767425348,23:52:00,0.0774550112,0.0770390928,0.0774300378,142347286.67,6913967128.53
2023-09-03,16:55:00,0.0767053742,20:54:00,0.077093631,0.0770331679,0.0770407969,107374125.92,6879948257.01
2023-09-02,03:30:00,0.0760207691,22:53:00,0.077146748,0.0760931716,0.0770322758,129054735.08,6879682484.71
2023-09-01,18:05:00,0.0758060551,13:32:00,0.0774236587,0.0767140626,0.0760934349,188298937.08,6796391336.91
2023-08-31,17:25:00,0.0753174558,23:03:00,0.0768876182,0.0756341392,0.0767143185,184954076.82,6852664205.3
2023-08-30,23:01:00,0.0754881507,00:03:00,0.0773414261,0.077335068,0.075626945,176403791.92,6756218860.74
2023-08-29,14:00:00,0.0759255462,16:49:00,0.0779889596,0.0763809672,0.0773331307,205229424.79,6909357944.02
2023-08-28,22:01:00,0.0762923498,00:22:00,0.0775246783,0.0775145017,0.0763828362,146293864.21,6825195128.63
2023-08-27,06:47:00,0.0771860368,01:22:00,0.0775358153,0.0774303497,0.07751548,115622857.53,6927112803.25
2023-08-26,03:26:00,0.0771637301,08:13:00,0.0775507322,0.0772022282,0.0774317534,122098368.8,6920091698.78
2023-08-25,05:05:00,0.0763110423,12:45:00,0.077317385,0.0765536485,0.0772021401,174447305.16,6900049920.05
2023-08-24,20:58:00,0.0762649084,04:10:00,0.0779029474,0.0775975791,0.0765405152,167432407.08,6841582361.06
2023-08-23,00:03:00,0.075426377,16:25:00,0.077802948,0.0754292144,0.0775975477,192175124.72,6936691812.01
2023-08-22,21:44:00,0.0744396936,23:45:00,0.0754930905,0.0751180685,0.0754314313,163227059.31,6743707962.81
2023-08-21,15:37:00,0.0742580523,06:07:00,0.0761763156,0.075903752,0.0751228048,182098796.05,6716771140.5
2023-08-20,06:51:00,0.0740735734,22:32:00,0.0762410133,0.0740764564,0.0759017422,156526806.79,6787136747.23
2023-08-19,00:24:00,0.0729717847,23:39:00,0.0741645093,0.0730022011,0.074076486,140745869.65,6624379671.91
2023-08-18,03:52:00,0.0720677385,13:51:00,0.0733977826,0.0727367075,0.0729993093,214674143.24,6528567334.31
2023-08-17,22:10:00,0.0720620478,18:19:00,0.075347277,0.0745945443,0.0727421351,293806022.31,6506274649.17
