date,time_low,low,time_high,high,open,close,volume,market_cap
2023-09-10,05:22:00,1915.8146645475,19:59:00,1928.6857139663,1924.2448655616,1919.130975792,1594444.66,473111844.68
2023-09-09,12:10:00,1917.0426359348,15:08:00,1926.6516618476,1924.4658687668,1924.220284771,1400368.46,474366481.49
2023-09-08,00:14:00,1918.5099201658,14:19:00,1933.1782067497,1919.0471719532,1924.4549624448,1666916.94,474424335.17
2023-09-07,17:09:00,1917.4103811191,04:27:00,1928.4605164684,1918.3786268931,1918.8840006031,1496878.42,473050959.37
2023-09-06,14:46:00,1916.4246658782,02:49:00,1933.7997275789,1928.5170579929,1917.9752581983,1885119.89,472826932.56
2023-09-05,21:16:00,1926.7348851313,05:35:00,1944.513674493,1941.0374688506,1928.5148322582,2384754.08,475425190.51
2023-09-04,14:37:00,1937.9606776227,17:19:00,1947.4153709103,1939.3920136439,1941.041559949,1006199.16,478513329.53
2023-09-03,06:22:00,1936.6746430664,11:42:00,1948.1784309429,1940.4071311984,1939.451359267,1021468.81,478121306.9
2023-09-02,02:26:00,1934.3822193795,01:31:00,1947.267177019,1939.8444546978,1940.3495675077,1192480.22,478342736.79
2023-09-01,01:03:00,1934.073839277,10:04:00,1950.2399414271,1943.7551437615,1939.8143143455,2564079.21,478210784.03
2023-08-31,23:31:00,1936.3874581956,03:16:00,1951.173128886,1942.7085132912,1943.7217281437,1282472.15,479174055.31
2023-08-30,01:49:00,1933.5709816589,14:58:00,1953.083667549,1937.2735952807,1942.6591447665,1721235.92,478912103.01
2023-08-29,12:46:00,1916.7680039018,22:17:00,1938.8522921039,1922.0285842346,1937.2560411389,2069725.32,477580108.29
2023-08-28,11:23:00,1915.5649188147,16:07:00,1927.1273318794,1919.5888317512,1922.0338120133,3371194.36,473827463.48
2023-08-27,16:20:00,1916.3322044119,05:01:00,1920.1423428534,1917.8915832991,1919.3013988339,1012098.26,473153858.05
2023-08-26,02:30:00,1916.0492042456,03:55:00,1920.7763241772,1917.1219516057,1917.9126624117,867079.77,472811501.19
2023-08-25,15:03:00,1908.4564026955,14:17:00,1922.1329757211,1918.433854941,1917.1300232915,1043454.41,472618561.87
2023-08-24,13:46:00,1915.7964819714,06:26:00,1927.5290620878,1923.8265350026,1918.3230367722,641757.25,472912668.32
2023-08-23,12:24:00,1904.8188499366,23:20:00,1924.6120113326,1906.3212003365,1923.8460544338,894249.71,474274224.73
2023-08-22,13:58:00,1896.2802644165,09:50:00,1912.4558010109,1902.9824477902,1906.7683688039,1533861.53,470064165.36
2023-08-21,14:46:00,1891.8231510495,20:10:00,1910.558146907,1896.4442655245,1902.9712787645,2514368.53,469128091.53
2023-08-20,20:55:00,1893.5510642816,00:28:00,1899.8069454065,1897.9223945212,1896.4906066012,811729.15,467530450.31
2023-08-19,15:28:00,1892.3475798143,04:30:00,1900.2381598445,1899.1069163486,1897.924043683,1052601.76,467883826.95
2023-08-18,18:25:00,1889.7885999737,13:52:00,1903.2544930918,1898.0886964563,1899.0563753242,3870556.4,468162973.88
2023-08-17,17:27:00,1888.4079771838,21:48:00,1906.589994896,1900.902737257,1898.0043339763,11344279.42,467903620.43
2023-08-16,21:16:00,1898.0375497861,10:34:00,1911.9296853911,1905.0240899044,1900.9290494798,1185254.92,468624633.0
2023-08-15,21:04:00,1900.9796525644,06:27:00,1911.0255614009,1910.3031789284,1905.0059302473,1381426.66,469629681.95
2023-08-14,19:58:00,1905.6664369022,08:44:00,1917.5783895574,1910.5744680404,1910.2699669852,1075214.15,470927393.35
2023-08-13,19:06:00,1908.81427568,03:01:00,1917.3481023051,1915.4664013626,1910.5824542013,745066.66,471004428.94
2023-08-12,03:27:00,1910.1268208889,06:57:00,1917.5011179484,1913.4120491787,1915.3514398643,688547.25,472180098.37
2023-08-11,19:31:00,1912.2258219057,09:11:00,1921.5880446352,1917.3708080385,1913.4295791013,840446.17,471706313.56
2023-08-10,00:41:00,1915.9436710721,13:05:00,1930.0947477214,1921.7805573027,1917.3589479933,1221684.87,472674997.3
2023-08-09,22:04:00,1919.3770441639,08:11:00,1936.1450547974,1931.0935692733,1921.6832101438,1149217.84,473741031.7
2023-08-08,16:22:00,1924.6863931674,00:00:00,1941.5791802234,1941.5791802234,1931.0743513233,898637.49,476056173.39
2023-08-07,10:30:00,1933.1893922751,02:24:00,1947.4470440929,1940.440731238,1941.7212827239,870809.24,478680897.51
2023-08-06,23:59:00,1940.4498613557,22:43:00,1948.8909525065,1943.466131102,1940.4498613557,888765.19,478367461.63
2023-08-05,01:03:00,1939.4766738223,18:52:00,1945.0832778274,1940.331709125,1943.4962714767,845315.45,479118474.83
2023-08-04,04:33:00,1931.6356061635,23:49:00,1947.498855589,1934.091184806,1940.3319936113,1175662.38,478338404.4
2023-08-03,07:23:00,1930.9138911054,01:50:00,1939.9574478026,1937.7352620716,1934.1519721951,733754.34,476814880.8
2023-08-02,15:22:00,1934.2003592168,11:03:00,1951.8133869005,1951.3037510014,1937.4610113739,1058948.24,477630638.37
2023-08-01,16:21:00,1940.9228366443,00:06:00,1967.1326298634,1966.9611195065,1951.3408170332,1342588.27,481052343.58
2023-07-31,09:02:00,1952.1008059056,16:30:00,1971.7851071529,1957.7364254202,1967.0110497856,2362391.97,484915432.04
2023-07-30,01:24:00,1954.0882492545,10:46:00,1960.5898417839,1955.4407910739,1957.8250130946,2037647.8,482650853.53
2023-07-29,12:51:00,1953.804365536,09:49:00,1960.7948005367,1960.1688232764,1955.352003637,1393038.54,482041197.35
2023-07-28,08:28:00,1946.1722660833,16:39:00,1963.2560602684,1948.39872614,1960.2136981637,1049076.68,483239721.73
2023-07-27,18:41:00,1944.6092684961,08:14:00,1978.9000380184,1971.9765557598,1948.3915705731,1485070.26,480325283.55
2023-07-26,05:00:00,1964.3104790701,20:08:00,1977.0290603126,1969.4431784612,1971.0833755127,3125807.65,485919358.07
2023-07-25,00:58:00,1956.8740819096,16:20:00,1969.6695943153,1957.6237705083,1969.3116819684,4500200.65,485482593.09
2023-07-24,19:56:00,1956.6524515996,13:15:00,1971.6319258077,1962.8016263962,1957.6621591288,4977469.06,482610706.12
2023-07-23,23:07:00,1960.3310369651,00:06:00,1965.2444216902,1964.7599052914,1963.1122990734,4675356.52,483954296.42
2023-07-22,15:58:00,1961.3903878708,04:55:00,1966.1321952041,1965.3329082784,1964.5550368494,1101596.64,484309965.91
2023-07-21,14:26:00,1961.8690930926,01:44:00,1973.8339937742,1969.252083353,1965.329068009,2592093.4,484500783.17
2023-07-20,21:48:00,1967.2164704283,03:32:00,1984.0072031659,1977.4255894916,1969.2191263221,6098117.16,485459775.9
2023-07-19,14:52:00,1969.1268572053,08:15:00,1980.1002193163,1976.9153568394,1977.3740227749,4525381.91,487470153.6
2023-07-18,02:43:00,1955.1692378561,16:35:00,1980.5568075206,1955.2361808701,1976.8278566215,3997356.06,487335510.53
