date,time_low,low,time_high,high,open,close,volume,market_cap
2023-09-10,21:28:00,1.707028099,14:08:00,1.7759499741,1.7706452089,1.7199058818,18382065.24,5902531387.14
2023-09-09,23:57:00,1.7706937738,12:04:00,1.8052561378,1.7879662767,1.7708140458,15990322.65,6077242712.47
2023-09-08,12:52:00,1.7774875549,18:02:00,1.8278924843,1.8044113302,1.7880472171,22488854.97,6136385096.78
2023-09-07,23:52:00,1.8029367516,07:04:00,1.8765188078,1.8222275911,1.8044448385,24176521.84,6192659963.93
2023-09-06,05:46:00,1.727878563,20:09:00,1.8324493938,1.7839541449,1.8220523341,23988002.53,6253086988.6
2023-09-05,21:22:00,1.7534704297,00:00:00,1.878346339,1.878346339,1.7836659315,27619036.55,6121348997.14
2023-09-04,23:05:00,1.8678718974,05:46:00,1.9297322232,1.8814088128,1.8782456854,23817916.78,6445936506.3
2023-09-03,06:03:00,1.8442995068,14:26:00,1.8856251839,1.8658609011,1.881529667,30325987.29,6457206776.83
2023-09-02,14:17:00,1.8590281743,01:23:00,1.9466324335,1.9413628799,1.8658007823,37696391.1,6403226941.71
2023-09-01,07:11:00,1.7152888062,18:17:00,1.9493169556,1.7474775885,1.9414927867,49504704.7,6662993732.88
2023-08-31,07:06:00,1.6801849925,23:37:00,1.7556030454,1.7180754409,1.7474542118,29041138.19,5997074282.93
2023-08-30,06:01:00,1.6793094994,19:43:00,1.7601568452,1.7203401402,1.7179824933,37243022.79,5895930525.29
2023-08-29,08:01:00,1.4978362654,22:16:00,1.7425546772,1.5114514515,1.7202924011,34841481.12,5903857879.86
2023-08-28,11:58:00,1.4617361218,00:19:00,1.5153254186,1.5146662661,1.5115568935,23102449.43,5187500142.83
2023-08-27,00:04:00,1.4635992387,22:46:00,1.517038147,1.4671456149,1.5153001529,25836162.32,5200346605.19
2023-08-26,08:52:00,1.4203643095,22:46:00,1.4682206389,1.4268826777,1.4671409292,22857385.98,5035069346.4
2023-08-25,16:53:00,1.3952542602,11:07:00,1.4386918368,1.411128206,1.4270442017,29643403.69,4897461704.62
2023-08-24,22:22:00,1.4024205057,05:08:00,1.4418157504,1.4236956243,1.4111710134,28654443.37,4842986635.27
2023-08-23,00:00:00,1.3724348453,16:55:00,1.4344492492,1.3724348453,1.4236738483,29759642.3,4885895015.39
2023-08-22,02:11:00,1.3411431855,15:54:00,1.3865062591,1.3571112532,1.3723630237,29153884.02,4709801802.45
2023-08-21,15:31:00,1.3330314572,00:06:00,1.3838468018,1.3804419512,1.3571181768,25645895.65,4657483132.89
2023-08-20,01:28:00,1.3421514317,14:21:00,1.4097094417,1.3451313524,1.3804433684,21819911.4,4737532673.35
2023-08-19,00:04:00,1.2742688275,22:20:00,1.3465632219,1.2759077446,1.3450961485,17067553.61,4616224829.01
2023-08-18,20:51:00,1.2595682989,10:04:00,1.3474018349,1.3281419448,1.2759080804,19883822.32,4378778845.8
2023-08-17,22:22:00,1.3119372094,01:07:00,1.4558918888,1.4030099603,1.3280579447,30260757.65,4557751552.32
2023-08-16,23:10:00,1.3977281898,01:34:00,1.5058028131,1.4853494004,1.4032553147,29677257.02,4815820811.47
2023-08-15,00:00:00,1.4379912451,12:30:00,1.4920750389,1.4379912451,1.4853938018,36455543.38,5097711235.51
2023-08-14,06:49:00,1.3769509272,17:13:00,1.4767248461,1.3996046107,1.4380220268,42178393.03,4935136415.72
2023-08-13,01:50:00,1.3610665368,13:55:00,1.4540985607,1.3674694497,1.3998570062,37098066.09,4804158183.34
2023-08-12,00:11:00,1.2929169483,23:59:00,1.3666623129,1.2930561976,1.3666623129,27895006.11,4690237578.04
2023-08-11,07:37:00,1.251637929,22:58:00,1.2980144124,1.2598949566,1.2930065242,25459644.12,4437458859.8
2023-08-10,17:59:00,1.2535121354,02:50:00,1.2838759531,1.2572176666,1.260256184,22756216.41,4325063226.3
2023-08-09,18:28:00,1.2462376082,08:07:00,1.2958075883,1.2774135402,1.2571913657,26389205.2,4314545100.56
2023-08-08,02:00:00,1.2007098731,20:34:00,1.2878400726,1.2037685896,1.2773998786,28358128.85,4383898536.09
2023-08-07,06:55:00,1.1979431338,12:33:00,1.208870039,1.2041711479,1.2037051798,28344851.14,4130986282.51
2023-08-06,14:17:00,1.1932479141,22:50:00,1.2055485271,1.1940389571,1.2039735834,24169022.55,4131907414.46
2023-08-05,20:30:00,1.1860136453,06:30:00,1.204920087,1.2013881913,1.1940860259,23796230.96,4097974384.23
2023-08-04,00:08:00,1.1824460266,18:01:00,1.2066727124,1.1841057269,1.2010414559,24337892.29,4121844669.27
2023-08-03,12:33:00,1.1770518713,15:02:00,1.2041002294,1.1976266785,1.1842739035,27430822.81,4064300238.97
2023-08-02,04:28:00,1.1937005903,09:14:00,1.2123909229,1.2055751958,1.1975434999,24496715.44,4109840061.75
