date,time_low,low,time_high,high,open,close,volume,market_cap
2023-09-10,23:59:00,0.7448505773,02:07:00,0.7917031384,0.7909369329,0.7448505773,12338811.26,310341918.56
2023-09-09,18:15:00,0.7899283263,00:28:00,0.8060410845,0.7989408144,0.7909371412,5862529.67,329543880.8
2023-09-08,18:34:00,0.7912287285,14:29:00,0.8055750687,0.7966166211,0.7988810563,7324907.64,332853712.24
2023-09-07,12:55:00,0.7929759938,21:22:00,0.8108036173,0.8060205016,0.7966467605,8898362.65,331922793.1
2023-09-06,17:10:00,0.7886094057,17:58:00,0.8066645447,0.7996124884,0.8060046827,6922248.14,335821770.44
2023-09-05,03:52:00,0.7881904005,17:55:00,0.8038696087,0.7988550051,0.7995816821,9031866.69,333145627.87
2023-09-04,21:22:00,0.7918661251,03:13:00,0.8131928295,0.8096983436,0.7988524568,11245439.17,332841796.26
2023-09-03,22:07:00,0.8066052452,14:50:00,0.817524903,0.8157570893,0.8097627113,4818866.51,337387552.68
2023-09-02,03:00:00,0.7989386346,23:46:00,0.8188031865,0.8018986688,0.8157799644,5119472.72,339894640.58
2023-09-01,17:43:00,0.7969290992,02:51:00,0.8434860532,0.8316421248,0.8020187423,10722492.78,334161028.78
2023-08-31,17:04:00,0.8221451719,18:14:00,0.8606847528,0.8388358216,0.8315525109,19026044.53,346466270.51
2023-08-30,15:07:00,0.8332718158,00:37:00,0.8634688812,0.8586966765,0.8387395416,8019467.84,349460746.13
2023-08-29,13:43:00,0.8171712032,23:55:00,0.8588978028,0.8328338416,0.8585996508,17509168.47,357735458.67
2023-08-28,09:17:00,0.8302802052,00:21:00,0.8534828673,0.8523354285,0.8328588616,6494112.95,347010561.39
2023-08-27,00:00:00,0.8447317606,09:11:00,0.8654152533,0.8447317606,0.8523100663,5568155.68,355114903.9
2023-08-26,11:15:00,0.8405865166,14:55:00,0.8532891055,0.8450754387,0.8446724327,4355819.96,351932684.63
2023-08-25,16:58:00,0.8397549269,00:06:00,0.8589606018,0.8574283844,0.8450739665,6300668.69,352099983.62
2023-08-24,15:11:00,0.8448400783,05:07:00,0.8663431309,0.8575227402,0.8574636336,7085061.63,357262137.19
2023-08-23,05:50:00,0.8463719757,19:43:00,0.8726208559,0.8470820301,0.8575314279,6644347.74,357290383.7
2023-08-22,21:44:00,0.8252069169,00:00:00,0.873819078,0.873819078,0.8469851879,6982144.99,352896293.85
2023-08-21,16:19:00,0.853093938,06:49:00,0.8978299026,0.8753047755,0.8739409722,11059676.69,364127418.68
2023-08-20,07:10:00,0.8632309532,01:09:00,0.8795061547,0.8746682842,0.875327899,5669275.44,364705281.61
2023-08-19,07:31:00,0.8518624999,17:58:00,0.8854597755,0.8632868527,0.8746433209,7168281.87,364420052.21
2023-08-18,03:16:00,0.8406611205,06:47:00,0.8664570101,0.8510319982,0.863235157,8726751.38,359666841.84
2023-08-17,21:55:00,0.8370306769,08:16:00,0.8841536717,0.8644447937,0.8509376366,11788535.76,354543081.22
2023-08-16,21:16:00,0.8503125468,03:26:00,0.9340756514,0.9260135121,0.8644446303,12444132.62,360170768.79
2023-08-15,23:07:00,0.9201504484,09:35:00,0.9675404607,0.9433448389,0.9259270203,18106310.09,385787400.42
2023-08-14,00:10:00,0.9036745497,23:59:00,0.9428530988,0.9049206155,0.9428530988,11729436.71,392839649.32
2023-08-13,15:50:00,0.8968595371,20:16:00,0.9112709354,0.901340773,0.9049450832,5053326.77,377045278.42
2023-08-12,23:58:00,0.9013444497,09:41:00,0.9149798258,0.9024326488,0.9013485787,5460748.09,375546795.18
2023-08-11,19:50:00,0.898684096,09:22:00,0.9138508685,0.9049125411,0.9024423205,4961216.02,376002502.58
2023-08-10,21:50:00,0.9001659984,01:52:00,0.9177664135,0.915304987,0.9047490695,4857237.94,376963609.32
2023-08-09,18:05:00,0.9060688474,00:52:00,0.9288284814,0.9240565971,0.9153043524,5187399.55,381361466.88
2023-08-08,10:06:00,0.8999563558,20:17:00,0.9360634126,0.9195089228,0.924067772,11266567.18,385012744.82
2023-08-07,16:22:00,0.8682952864,21:53:00,0.9261063649,0.8901429419,0.9195870889,13952798.46,383145868.62
2023-08-06,20:52:00,0.8880554814,02:30:00,0.909549737,0.9008713921,0.8901615246,5435010.6,370885710.23
2023-08-05,12:52:00,0.8859143127,00:11:00,0.9019011444,0.9016887689,0.9008820707,4627139.28,375352424.67
