date,time_low,low,time_high,high,open,close,volume,market_cap
2023-09-10,04:23:00,0.9957293558,10:28:00,0.9978860334,0.9965694537,0.9967491046,14670822.8,722974056.19
2023-09-09,04:18:00,0.9962813017,18:00:00,0.9976914006,0.9968205269,0.9963960162,14456672.95,722717949.81
2023-09-08,10:07:00,0.9960726229,01:01:00,0.9985239025,0.9976556877,0.996971776,16273361.77,723135566.87
2023-09-07,22:43:00,0.9966030838,21:10:00,1.0001852086,0.9973583744,0.997393358,14450928.2,723491247.05
2023-09-06,18:24:00,0.9958461678,18:01:00,0.9981481496,0.99699617,0.9973700014,16314631.92,723424414.38
2023-09-05,10:07:00,0.9956126697,17:23:00,0.9974878188,0.9972273555,0.9969160211,15870379.44,723095140.87
2023-09-04,11:47:00,0.9961941462,15:50:00,0.9981383484,0.9973480327,0.9969881004,18211070.3,723148136.33
2023-09-03,08:13:00,0.9964589836,20:53:00,0.9979212285,0.9972139372,0.9975518899,19506525.09,723556379.82
2023-09-02,16:48:00,0.9960773294,15:07:00,0.9978284443,0.9969301963,0.9971555164,20736569.35,723298344.6
2023-09-01,17:47:00,0.9949041708,15:23:00,0.9981777958,0.9965826505,0.996880764,25267414.42,723069553.51
2023-08-31,15:43:00,0.9957007207,11:21:00,0.9986123985,0.9978321418,0.9966023225,26747859.94,722902471.53
2023-08-30,13:39:00,0.9967388336,00:00:00,0.9988439521,0.9988439521,0.9979732621,24118503.32,723861976.8
2023-08-29,12:20:00,0.9961740868,14:45:00,1.0016617712,0.9982332752,0.9988735459,23075208.09,724514984.95
2023-08-28,07:43:00,0.9972427235,12:27:00,0.9993051673,0.9984464296,0.9979901549,23593498.53,723874969.37
2023-08-27,11:55:00,0.996921467,23:50:00,0.9990648383,0.9975469358,0.9987054145,25121308.17,724393031.27
2023-08-26,07:17:00,0.9968102971,10:56:00,0.9984093488,0.9976814796,0.9975391968,23554692.09,723548482.63
2023-08-25,14:59:00,0.996586338,14:17:00,0.9995100221,0.9980290093,0.9976655093,24074045.57,723638753.89
2023-08-24,14:33:00,0.9968351809,17:47:00,0.9990499394,0.9983856614,0.9980829805,21414682.38,723941559.07
2023-08-23,08:47:00,0.9963321871,19:42:00,1.0010004298,0.9973266636,0.9985731903,22104149.38,724297125.22
2023-08-22,21:27:00,0.9930761752,21:34:00,0.9991180377,0.9978186029,0.9973479914,24119790.03,723408447.94
2023-08-21,15:17:00,0.9958793467,21:52:00,0.9990723229,0.9983938351,0.9978454554,22526608.14,723769445.0
2023-08-20,00:37:00,0.9966132257,20:41:00,0.9992547864,0.9969953369,0.9983692126,20736427.38,724149172.89
2023-08-19,05:54:00,0.9948961241,18:38:00,0.9978577737,0.995803098,0.9970271625,23184328.91,723175740.5
2023-08-18,02:36:00,0.9931420824,17:39:00,0.9981825604,0.99628996,0.9956179325,34641646.91,722153608.68
2023-08-17,21:58:00,0.9903588344,21:50:00,0.9994080857,0.9953506935,0.9963031515,26116986.73,722650592.08
2023-08-16,23:38:00,0.9950204055,00:20:00,0.9980580432,0.9972180621,0.9951056187,22657285.41,721781983.2
2023-08-15,19:10:00,0.9935163231,00:00:00,0.9977938542,0.9977938542,0.997298966,22903699.25,723372928.65
2023-08-14,13:56:00,0.9961406997,08:37:00,0.9983781554,0.9970944903,0.9977124787,25528442.76,724119093.02
2023-08-13,22:22:00,0.9966339555,07:31:00,0.9989287316,0.9981265436,0.9969504064,23857618.48,723120066.85
2023-08-12,03:57:00,0.9977204138,16:04:00,0.9994936241,0.9984521999,0.9983182556,23025857.64,736089858.56
2023-08-11,08:58:00,0.9971377866,14:13:00,0.999480969,0.9979196491,0.9986865058,22516890.64,736552259.73
2023-08-10,20:58:00,0.9969890648,12:31:00,0.9989055957,0.9986028408,0.9979455374,21239449.47,740692155.9
2023-08-09,22:37:00,0.9974487678,13:21:00,1.0000054731,0.9991710512,0.9983652097,23035568.46,740004258.86
2023-08-08,07:17:00,0.9974454744,21:21:00,1.000732732,0.9985686464,0.9992787749,22202508.41,740765947.87
2023-08-07,06:31:00,0.9966564113,16:23:00,0.9991537546,0.9979747815,0.9986956791,23019146.87,741216397.8
2023-08-06,21:51:00,0.9967849545,14:24:00,0.9989059819,0.9981814534,0.998072778,20075489.44,741224847.09
2023-08-05,08:29:00,0.9962621942,22:10:00,0.998736007,0.9978109715,0.9981513517,17515919.65,744603117.14
2023-08-04,21:01:00,0.9968638299,13:34:00,0.9995983606,0.9976759827,0.9979724544,19925937.35,743837868.24
2023-08-03,22:08:00,0.9971284789,14:49:00,0.9998060689,0.9984310196,0.9979944758,23520796.62,736822757.25
2023-08-02,16:53:00,0.9963644038,01:34:00,1.0000640319,0.9998935783,0.9983664014,21929859.54,735675405.37
2023-08-01,02:11:00,0.9948056823,23:56:00,1.0000964441,0.9981515257,0.9998531166,17905005.39,725225502.4
2023-07-31,20:00:00,0.9966286052,00:49:00,0.9994592396,0.9983864874,0.9981751515,13153200.5,741492504.87
2023-07-30,19:51:00,0.9967565179,17:01:00,0.9993603245,0.9983847788,0.9984123135,12286119.38,742397448.05
2023-07-29,06:55:00,0.9977715247,04:18:00,0.9996386692,0.9989081152,0.9985129531,12129815.23,739536405.5
2023-07-28,11:36:00,0.9979553245,14:31:00,1.0003252367,0.9986200629,0.9994497941,12581361.96,726068887.15
2023-07-27,18:38:00,0.9973693502,08:28:00,1.0001411285,0.9991858548,0.9989002703,10586815.31,725384622.97
2023-07-26,10:13:00,0.9970164808,18:43:00,1.0005582568,0.9992715248,0.9993600012,12023076.14,725890863.86
2023-07-25,16:49:00,0.9979967876,18:43:00,1.0002688152,0.9992645148,0.9992495402,10416928.63,725752870.5
2023-07-24,09:51:00,0.993857435,00:43:00,0.999624861,0.9992187563,0.9990480398,11299509.94,725624323.14
2023-07-23,19:50:00,0.9976322985,19:09:00,0.9999646642,0.998697592,0.9993769745,11645904.38,726275004.76
2023-07-22,10:03:00,0.994941219,08:33:00,0.9999113974,0.9988133373,0.9986571659,42668316.5,726218884.89
2023-07-21,05:50:00,0.9975136648,02:29:00,1.0000372026,0.9983397921,0.9985941949,9692637.75,727209658.12
2023-07-20,18:31:00,0.9967207132,05:44:00,1.000724257,0.9992978856,0.9985129415,43406775.02,730533923.1
2023-07-19,09:04:00,0.9972918328,13:47:00,1.0004127302,0.9994047906,0.999665459,25322295.37,725089381.98
2023-07-18,20:33:00,0.9969946391,00:48:00,1.0002492815,0.9989956843,0.9992039538,20102176.29,729903091.8
2023-07-17,18:51:00,0.9972551327,21:24:00,1.0000306304,0.9991680907,0.9991939412,13969247.13,731491613.46
2023-07-16,02:22:00,0.9972554612,14:58:00,0.9997366348,0.9984001717,0.9990929355,18605249.98,731379736.28
2023-07-15,20:16:00,0.9979415975,07:40:00,1.0008074359,0.999940644,0.9987502173,14922722.43,739408776.79
2023-07-14,18:33:00,0.9962102947,06:48:00,1.0011725571,1.0005143935,0.9999964778,17786105.6,740013696.23
2023-07-13,18:51:00,0.9973166479,18:24:00,1.0029918671,0.9988621494,1.000392758,17889769.26,739705212.89
2023-07-12,19:25:00,0.9970284103,12:31:00,1.0003958422,0.9991888265,0.9987249043,15453578.47,737407489.3
