date,time_low,low,time_high,high,open,close,volume,market_cap
2023-09-10,19:43:00,1.0682360473,00:52:00,1.1768996088,1.1651242426,1.0910621707,60642513.24,140450345.71
2023-09-09,00:59:00,1.1234914326,22:31:00,1.1800605593,1.1340987803,1.1645058848,52379026.59,149849625.37
2023-09-08,19:13:00,1.1186180515,02:22:00,1.249572726,1.2280607436,1.1339861179,69317960.48,145888434.11
2023-09-07,19:06:00,1.2006279422,01:33:00,1.3815516618,1.2848759117,1.2284062527,170739703.33,157999423.75
2023-09-06,05:18:00,1.0552418348,21:54:00,1.3233856579,1.0719780531,1.2852655288,169657556.49,165267956.83
2023-09-05,00:55:00,1.025875194,19:07:00,1.0934007001,1.0470905097,1.0720243556,52316434.1,137809581.77
2023-09-04,23:34:00,1.0380960419,02:56:00,1.1590518972,1.1295701489,1.04690611,65832338.74,134525260.39
2023-09-03,16:55:00,1.1057949133,04:05:00,1.1496837808,1.1337720371,1.1293278133,42670561.42,145064484.82
2023-09-02,18:51:00,1.1095148177,04:28:00,1.2057002098,1.1239241308,1.133652867,91320013.68,145573224.19
2023-09-01,06:58:00,1.0997038503,22:26:00,1.1426720949,1.1351545722,1.1239406921,71097486.03,144278553.42
2023-08-31,23:51:00,1.1314540154,11:50:00,1.2586495806,1.2216665339,1.1350655954,76888118.37,145649067.5
2023-08-30,16:52:00,1.2063894116,09:04:00,1.3258371751,1.2971221895,1.2215224971,84116845.26,156667781.41
2023-08-29,12:25:00,1.1178512202,17:33:00,1.3719786534,1.2085840458,1.2969615965,131221586.09,166224731.8
2023-08-28,18:08:00,1.2022215483,00:22:00,1.3209131584,1.3112934048,1.2085344443,49261257.65,154394554.32
2023-08-27,18:10:00,1.2697788367,23:59:00,1.3112689138,1.294929231,1.3112689138,33895890.48,166433351.97
2023-08-26,15:47:00,1.2347431825,22:49:00,1.3225361098,1.266503841,1.2950557407,40934742.78,164299007.04
2023-08-25,21:09:00,1.2481665398,00:01:00,1.3991311473,1.3965434037,1.2666684909,47733742.84,160653137.14
2023-08-24,21:03:00,1.3788378323,06:43:00,1.4699552379,1.4060503152,1.396548693,45258752.25,177073903.37
2023-08-23,13:43:00,1.3394242862,00:28:00,1.4430290232,1.4328794169,1.4059940746,58661476.23,178214297.91
2023-08-22,22:12:00,1.3823698514,09:10:00,1.495484582,1.4766281643,1.4330498639,47449468.81,181581994.59
2023-08-21,08:34:00,1.4323906692,14:52:00,1.5228286657,1.4687731867,1.4769867364,51572760.19,187071860.24
