date,time_low,low,time_high,high,open,close,volume,market_cap
2023-09-10,19:43:00,0.0156365645,00:00:00,0.0164213813,0.0164213813,0.0157522969,10935451.92,249952712.13
2023-09-09,14:12:00,0.0163110782,03:12:00,0.0165620085,0.0165562603,0.0164203775,6341019.69,260553615.31
2023-09-08,10:21:00,0.0161988208,01:02:00,0.0166839967,0.0165735953,0.0165535767,9699992.07,262667180.31
2023-09-07,14:04:00,0.016245503,21:23:00,0.0166685218,0.0163477999,0.0165692282,8249019.44,262915533.09
2023-09-06,17:10:00,0.016074915,01:16:00,0.0165367215,0.0164579024,0.0163503373,8720852.72,259442237.78
2023-09-05,03:54:00,0.0159266145,23:40:00,0.0164631811,0.0160787731,0.0164558474,8693187.77,261116441.48
2023-09-04,22:02:00,0.0159341082,03:13:00,0.0164179756,0.0161031408,0.0160794573,9353271.03,255143995.49
2023-09-03,02:41:00,0.0159144066,06:49:00,0.016126183,0.015947213,0.0161030914,8100147.62,255519014.9
2023-09-02,09:03:00,0.015814604,16:02:00,0.0160485574,0.0159180308,0.0159464111,7964101.27,253032859.27
2023-09-01,18:40:00,0.0157105378,06:08:00,0.0162526253,0.016126137,0.015918451,9352046.69,252589196.21
2023-08-31,21:10:00,0.0159810126,11:52:00,0.0170199186,0.0169803358,0.0161267067,11579397.81,255893735.36
2023-08-30,15:07:00,0.0169114401,00:05:00,0.0174190229,0.0174062011,0.016980195,10172497.73,269436630.89
2023-08-29,11:46:00,0.0163539946,17:41:00,0.017506657,0.0166978212,0.0174052359,12783521.07,276181052.16
2023-08-28,10:16:00,0.0162968628,23:58:00,0.0167014934,0.0166807148,0.0166993592,8704943.93,264980413.06
2023-08-27,12:45:00,0.0165180879,19:43:00,0.0166985472,0.0166780258,0.0166793585,7706682.43,264663048.37
2023-08-26,18:49:00,0.0166338889,03:42:00,0.0169159291,0.016775459,0.0166779943,7404657.83,264641401.09
2023-08-25,05:11:00,0.0165532408,02:31:00,0.0168425413,0.0167133219,0.0167757549,9289423.68,266192636.38
2023-08-24,20:58:00,0.0164852195,01:33:00,0.0170323344,0.0169884748,0.0167106479,10096995.72,265159538.72
2023-08-23,13:14:00,0.0165663744,19:50:00,0.0171923793,0.0166597931,0.016988126,9762717.34,269562478.08
2023-08-22,21:41:00,0.0161738555,03:22:00,0.0168167017,0.016635026,0.0166610273,12950191.61,264372174.35
2023-08-21,17:02:00,0.0164731548,00:01:00,0.0170996914,0.0170946927,0.0166355153,10413477.09,263967357.23
2023-08-20,06:36:00,0.0168965454,13:59:00,0.0171359669,0.0169939931,0.0170951113,9163826.7,271260088.28
2023-08-19,03:27:00,0.0166195857,17:01:00,0.0170101696,0.0166642941,0.0169934525,9838075.66,269646997.54
