date,time_low,low,time_high,high,open,close,volume,market_cap
2023-09-10,17:11:00,5218.5240651689,00:02:00,5393.2603566867,5391.5339044295,5266.9207628831,20903581.72,174124454.88
2023-09-09,19:06:00,5378.835818349,17:14:00,5417.2161319637,5394.8831718057,5391.603757878,14509753.62,178246475.99
2023-09-08,18:49:00,5365.7097684915,01:02:00,5492.8646738392,5445.8251171839,5394.9457697578,18925583.09,178356962.93
2023-09-07,13:06:00,5343.8776678414,21:20:00,5469.0925429779,5402.2781527941,5446.3959440494,19130525.85,180020326.1
2023-09-06,17:07:00,5342.4898724477,17:58:00,5449.9299609258,5428.2758415569,5402.1351354378,17410632.21,178480658.39
2023-09-05,03:17:00,5315.6679650064,16:17:00,5466.8798527293,5357.7110698071,5428.0634363344,19982525.02,179337301.19
2023-09-04,22:04:00,5299.9218078467,03:24:00,5480.3511362329,5409.004298133,5357.4475216235,21505857.34,177004228.32
2023-09-03,22:00:00,5386.2893314749,01:13:00,5479.0990110506,5456.0766565701,5409.4068412014,19545452.25,178720907.62
2023-09-02,20:42:00,5432.6953298025,05:27:00,5523.1283741019,5472.9811489583,5455.9673548829,22176912.47,180259216.26
2023-09-01,17:43:00,5351.5445286094,00:54:00,5547.2962511759,5521.00116372,5472.7337311561,26563821.49,180813159.06
2023-08-31,17:09:00,5421.4634686521,11:51:00,5679.3383867369,5653.5095594986,5520.9621490579,28083284.62,182421644.59
2023-08-30,23:23:00,5628.5913901662,13:25:00,5795.7911682663,5723.5990364274,5653.3647046422,23302031.64,186796442.19
2023-08-29,12:25:00,5494.9531039206,14:47:00,5825.8657806101,5707.68911661,5723.6175133852,30283937.66,189117710.21
2023-08-28,09:53:00,5684.0802838621,00:03:00,5815.907838074,5809.5025268866,5707.541963877,19266833.0,188586547.69
2023-08-27,00:03:00,5578.7353323557,19:52:00,5883.0469790574,5579.4876444754,5809.4387179516,24575967.36,191953383.57
2023-08-26,23:43:00,5578.8081652042,01:22:00,5769.2007074786,5744.4156477969,5579.4497505116,20905745.83,184354170.87
2023-08-25,04:56:00,5534.4817865601,16:37:00,5764.7188081903,5655.3057964956,5743.3057786894,32477076.44,189768242.79
2023-08-24,20:58:00,5583.3749096776,07:10:00,5737.5606274031,5672.0064669132,5655.5119043711,23285050.49,186867389.19
2023-08-23,13:15:00,5463.4224665137,20:28:00,5709.8973613888,5551.6870966338,5671.884058475,28573185.74,187408352.01
2023-08-22,21:40:00,5409.279348145,07:54:00,5625.3041041041,5584.3075625769,5551.0468841152,25040980.85,183415693.58
2023-08-21,16:18:00,5494.1121895564,01:07:00,5719.3838889044,5697.0467403457,5584.6930307046,27120964.69,184534043.75
2023-08-20,17:07:00,5559.7583267603,23:43:00,5708.9764550178,5640.4789287153,5697.0568665169,22245072.76,188246862.5
2023-08-19,00:04:00,5471.1247214928,09:50:00,5747.2161778189,5474.7427360019,5640.3062357581,27474408.21,186371661.24
2023-08-18,00:02:00,5351.7081174947,23:12:00,5503.9369026528,5361.0948890677,5474.8679359938,32652313.69,180913323.94
2023-08-17,21:46:00,4988.8861418762,06:02:00,5802.7831332484,5736.7720553175,5360.6365732055,37783017.94,177138625.49
2023-08-16,21:58:00,5618.9982804758,04:11:00,5983.0818847541,5925.7364181477,5736.8285510489,27200082.61,189569636.05
2023-08-15,19:16:00,5854.5086349005,00:00:00,6269.6566506361,6269.6566506361,5925.7455340229,31854968.54,195812270.53
2023-08-14,02:22:00,6192.1724087151,15:48:00,6340.5284748837,6240.0398430802,6269.7866928151,20565352.35,207119364.52
2023-08-13,22:45:00,6227.0465661219,20:06:00,6324.5499675143,6314.774568674,6240.0815097793,17400093.05,206138068.19
2023-08-12,18:20:00,6266.3275424127,23:58:00,6314.8871602104,6293.7337408904,6314.8868520728,17127665.97,208617781.02
2023-08-11,17:11:00,6266.8472519976,06:45:00,6372.0588707079,6348.1666506646,6294.1350954765,16200491.17,207932228.69
