date,time_low,low,time_high,high,open,close,volume,market_cap
2023-08-31,17:22:00,0.9893493654,11:23:00,1.0015945124,0.998111732,0.9950957512,985154.48,309117745.33
2023-08-30,11:13:00,0.993391573,16:07:00,1.0005026798,0.9974744816,0.998145639,266951.75,310065166.17
2023-08-29,22:49:00,0.9954725959,14:45:00,1.0059367167,0.9984749258,0.9973268102,924672.45,309771276.86
2023-08-28,12:23:00,0.9947296224,23:05:00,0.998906087,0.9983106981,0.9985272863,262119.33,310815735.89
2023-08-27,16:52:00,0.9801555303,09:01:00,0.9985843347,0.9977482965,0.9983304073,236303.84,310754452.53
2023-08-26,08:31:00,0.9959943224,02:18:00,0.9983031799,0.9976289479,0.9976970052,117478.85,310557290.81
2023-08-25,14:57:00,0.9946003008,14:17:00,1.0009584807,0.9990655706,0.9976835536,665745.36,310553103.68
2023-08-24,14:46:00,0.9957655899,05:25:00,1.0002055941,0.9990384078,0.9987591054,377664.01,310664313.85
2023-08-23,21:56:00,0.9951024362,17:42:00,1.0031237622,1.0010697561,0.9989777443,428537.82,310387960.29
2023-08-22,16:27:00,0.9959774622,23:14:00,1.0037258672,0.9975894569,1.0010808297,500955.08,361565284.5
2023-08-21,15:29:00,0.9959976173,19:43:00,0.999712453,0.9982206034,0.9976348482,241762.18,360133878.29
2023-08-20,12:08:00,0.9942240837,00:55:00,1.0000999942,0.9993525782,0.9982302455,192471.27,361258842.73
2023-08-19,03:22:00,0.9974827528,16:50:00,1.0020454936,0.9990931038,0.9994611419,1002162.97,361704303.26
2023-08-18,21:51:00,0.9932513662,18:51:00,1.002253103,0.9980251879,0.9990272379,1071597.65,361090920.74
2023-08-17,21:46:00,0.9792836651,22:52:00,1.0091539801,1.001090831,0.9979876064,487950.16,360641887.59
2023-08-16,01:31:00,0.983515115,22:15:00,1.0050807834,0.9842877709,1.0011087308,646459.24,361534547.87
2023-08-15,19:10:00,0.9812870473,00:01:00,0.9925129758,0.9918812685,0.9842863368,856424.34,355388877.19
2023-08-14,13:39:00,0.9841195826,08:38:00,0.9933110477,0.9897691166,0.991894439,1010415.88,358802956.86
2023-08-13,12:38:00,0.9867837206,01:54:00,0.9929380375,0.9922954175,0.9898485358,787680.39,358062882.02
2023-08-12,08:10:00,0.9800389163,23:30:00,0.9930541021,0.9864895415,0.9923072556,1039993.9,358952287.09
2023-08-11,01:26:00,0.9806176381,21:19:00,0.9915797096,0.9881649804,0.9864869595,860442.25,356514733.51
2023-08-10,16:47:00,0.9828044809,22:28:00,0.9929113422,0.9852950759,0.9881740194,971486.53,356174227.01
2023-08-09,19:19:00,0.9825159176,01:55:00,0.9923993778,0.9908742142,0.9852953466,1076397.15,355136647.55
2023-08-08,09:20:00,0.9814495164,20:36:00,0.9944988034,0.985936396,0.9908426242,1096218.98,357131425.29
2023-08-07,15:37:00,0.9800466859,18:28:00,0.9916442966,0.9888793819,0.985948885,1117629.79,355180394.59
2023-08-06,12:46:00,0.9840011712,21:23:00,0.9907679716,0.9879530909,0.9888061624,850106.16,356775141.71
2023-08-05,03:52:00,0.9838304775,01:26:00,0.9903647408,0.9888023072,0.9879148308,808651.84,356453536.77
2023-08-04,03:49:00,0.9805282627,15:45:00,0.9928573598,0.9815108719,0.9887972151,825913.78,356771913.4
2023-08-03,07:46:00,0.9669426638,23:40:00,0.9878675904,0.9780970102,0.9815047598,728231.13,354233266.47
2023-08-02,16:58:00,0.9737124132,01:33:00,0.9880020385,0.9843247829,0.9781269141,833893.23,353014173.74
2023-08-01,04:28:00,0.9722908528,23:59:00,0.9844875146,0.9779015823,0.9844875146,1109691.44,355875182.68
2023-07-31,08:01:00,0.9750508329,00:50:00,0.9829516495,0.9803954612,0.9778816985,887749.03,354828641.81
2023-07-30,08:28:00,0.9718631042,15:08:00,0.981432444,0.9799822179,0.9804157554,755324.27,355485531.54
2023-07-29,10:10:00,0.9771650492,21:13:00,0.9812235151,0.9799067039,0.9799474233,812109.62,356296018.78
2023-07-28,21:37:00,0.9723100787,15:12:00,0.9829555442,0.9783146648,0.9799511564,835297.86,356297376.07
2023-07-27,01:00:00,0.9722043204,09:52:00,0.9828042319,0.9803754733,0.978343742,780558.06,356383173.6
2023-07-26,10:37:00,0.9708355972,20:57:00,0.9833667812,0.9792263247,0.9803520997,1448295.13,405964516.03
2023-07-25,03:36:00,0.9742255859,13:46:00,0.9821904363,0.9768093235,0.9792415918,812656.65,406118387.46
2023-07-24,09:52:00,0.9742295245,00:53:00,0.9840712779,0.9832208881,0.9767845847,1147506.67,403295488.75
2023-07-23,00:46:00,0.9790568854,19:06:00,0.9883865033,0.9830405101,0.9832314842,916247.47,406790881.69
