date,time_low,low,time_high,high,open,close,volume,market_cap
2023-08-31,21:16:00,100.9373810928,11:59:00,105.1257469995,104.9438710015,101.2726772902,14012355.32,262254509.84
2023-08-30,14:59:00,104.5544961178,21:19:00,105.3092878563,105.2251092746,104.9512731203,11125501.54,271780557.46
2023-08-29,13:42:00,99.9845079851,20:31:00,105.3751975641,100.7719155336,105.2319900017,15283614.79,272507498.53
2023-08-28,08:25:00,100.4428559509,00:22:00,101.6427716476,101.5610944092,100.7783744317,12503277.81,260974469.09
2023-08-27,00:06:00,100.6542972982,14:51:00,101.969917629,100.8284690476,101.5596631347,7218346.22,262997684.94
2023-08-26,00:12:00,100.2833578464,14:14:00,101.3419251635,100.3634145744,100.8307844881,6855727.99,261110189.55
2023-08-25,07:22:00,99.6374202651,00:53:00,100.6610720162,100.2189962313,100.3699264221,9010761.33,259916757.03
2023-08-24,21:46:00,99.9749818364,05:24:00,101.3756306708,101.1316768357,100.2264689738,9866353.09,259545261.34
2023-08-23,05:49:00,98.7276010638,19:57:00,101.5450203641,99.3193408609,101.1520854594,13021368.44,261942226.69
2023-08-22,22:22:00,97.9402677388,01:23:00,101.6688785578,101.5877460245,99.3102341439,9202590.85,257172590.62
2023-08-21,15:35:00,100.2167376534,22:17:00,102.1621635699,101.7236302761,101.5862174477,8403445.8,263066449.67
2023-08-20,11:36:00,100.2305885243,23:58:00,101.782251143,100.628450957,101.7775878617,2615220.76,263562020.2
2023-08-19,07:30:00,99.9020317427,17:59:00,101.184218214,100.1209975464,100.6258216039,2294357.26,260579420.12
2023-08-18,17:28:00,99.6325644419,00:32:00,102.0032554045,101.7910243412,100.1144073003,1820131.29,259255067.78
2023-08-17,22:16:00,98.7926969032,00:14:00,107.8979584335,107.8382857388,101.7896712695,2584879.54,263593311.25
2023-08-16,21:47:00,107.6594842721,01:22:00,109.2466796467,109.2045704261,107.8448978609,2112810.33,279273853.37
2023-08-15,19:34:00,108.9737316912,02:23:00,109.9907946602,109.880321713,109.2039514866,2628372.92,282793242.33
2023-08-14,20:22:00,109.5090093703,11:26:00,110.7829539778,110.6242342376,109.8855650708,2511214.57,284558340.69
2023-08-13,23:25:00,110.4397146523,20:24:00,111.4381631321,110.8858917607,110.6263136101,2121003.12,286476574.21
2023-08-12,06:40:00,110.7011078091,16:40:00,111.4568948875,110.952735548,110.8981270816,2068676.03,287180459.12
2023-08-11,21:58:00,110.5598309359,00:12:00,111.608382931,111.5644733108,110.9386020694,2091787.09,287285272.66
2023-08-10,21:14:00,111.1487312747,10:11:00,112.0500777478,111.6182664644,111.5519674209,2262709.27,288873636.21
2023-08-09,20:11:00,111.2390082108,13:06:00,112.3219319541,112.1134877218,111.6100302321,2025971.58,289023994.97
2023-08-08,00:01:00,110.0672317241,22:20:00,112.8545232052,110.1162546578,112.1427139059,2593884.03,290403426.22
2023-08-07,16:21:00,108.9930788292,01:50:00,111.2793274176,110.7332104009,110.119411653,2131775.12,285163906.99
2023-08-06,23:02:00,110.5008209968,03:09:00,111.5041148292,110.9682379638,110.7177517408,1647105.66,286713361.3
2023-08-05,13:11:00,110.5711652281,18:35:00,111.2970673433,111.1455658165,110.9739521899,1796957.99,287376814.91
2023-08-04,20:52:00,110.9204316626,15:08:00,112.7495252301,111.6408344803,111.1446911883,1909473.46,287818958.57
2023-08-03,13:09:00,111.177014538,03:08:00,112.3087057659,111.7710311264,111.6414032797,1815052.52,289105238.24
2023-08-02,18:52:00,111.3885016577,00:13:00,114.4202413566,114.0256424377,111.7730419295,2046773.09,289446128.11
2023-08-01,05:51:00,112.3332704259,01:28:00,114.7161843551,114.5512055519,114.0139664373,1865558.0,295249199.32
2023-07-31,21:15:00,114.3513541632,02:27:00,115.731087471,115.1613365771,114.549172899,1955154.81,296635163.55
2023-07-30,20:44:00,114.7810740647,01:24:00,117.5875442145,117.2984758992,115.1768950745,2191912.13,298260705.37
2023-07-29,09:09:00,116.4588850556,20:19:00,117.5969787051,116.6516793781,117.2949752048,1953042.62,303745660.26
2023-07-28,03:15:00,115.3098714802,22:33:00,116.719340322,115.4520204952,116.6557361651,2021688.4,302090294.51
2023-07-27,00:52:00,115.1882077373,10:10:00,116.8878102647,115.3778014841,115.4550173016,1730327.78,298980927.35
2023-07-26,10:06:00,114.3425992798,20:52:00,116.1683562095,115.9470934445,115.3728301691,1730282.12,298768096.54
2023-07-25,01:03:00,113.3563090211,14:28:00,116.799639265,113.424868688,115.9403618449,2794334.9,300237769.75
2023-07-24,15:28:00,113.3483050267,00:35:00,116.7104634772,116.6214595241,113.4253292573,2806480.5,293724871.55
2023-07-23,15:33:00,115.8202127859,19:08:00,117.6274549475,116.489255702,116.616153811,3884515.4,301987792.52
2023-07-22,23:35:00,116.272952367,01:28:00,119.3983025799,118.8707042627,116.5363360551,4156445.33,301781097.42
2023-07-21,16:27:00,118.0310774002,06:54:00,119.4864625006,118.4639043822,118.8711106102,2995371.32,307827201.59
2023-07-20,08:22:00,117.5757668269,15:32:00,119.1464260239,117.8278077787,118.4769665662,2562794.75,306806530.9
2023-07-19,00:22:00,117.171314181,18:07:00,118.7518578432,117.3875263188,117.8283318369,2326329.9,305126834.19
2023-07-18,17:05:00,116.375030546,01:25:00,119.2067243862,119.0556586194,117.3967158099,4048455.83,304009126.51
2023-07-17,00:10:00,115.3857103598,10:35:00,120.7779913449,115.6019073944,119.0569240085,6874152.94,308308381.73
2023-07-16,23:59:00,115.6051077207,01:36:00,118.561983498,118.1729360043,115.6051077207,5678764.11,299369599.7
2023-07-15,03:31:00,118.0814660842,09:59:00,119.6126662525,118.7376977502,118.1775155448,2808399.04,306031076.13
2023-07-14,19:14:00,117.1911280847,02:07:00,122.924853737,121.7941550403,118.7307552189,3901824.0,307463738.95
2023-07-13,05:51:00,114.7469738181,23:46:00,121.9733918223,115.3284277242,121.7988550275,2448467.27,315408853.4
2023-07-12,00:34:00,114.2772168786,15:19:00,115.3658925862,114.3103174338,115.338104078,1322467.99,298678170.27
2023-07-11,18:43:00,114.1380628457,07:23:00,115.3356565594,114.7501844207,114.3139884501,1397650.41,296026132.73
2023-07-10,09:18:00,113.2176988086,20:45:00,115.6365948745,114.2078623613,114.743747409,1743323.39,297139031.37
2023-07-09,11:28:00,113.4108204785,19:42:00,114.4073212527,113.5927926815,114.2067970831,1237642.13,295748551.25
2023-07-08,05:58:00,113.1764982907,14:07:00,114.347673561,113.5556532445,113.6924027621,1143834.99,294416481.89
2023-07-07,00:37:00,112.673910665,16:07:00,113.7795010427,113.6571153672,113.5523666426,1242545.88,294053846.03
2023-07-06,23:54:00,113.6663785419,09:38:00,117.9315818954,115.2990796916,113.7183423748,1437736.89,294483654.8
2023-07-05,16:10:00,114.8172686038,07:19:00,118.201048499,117.8209690902,115.1928271857,1302177.59,298301962.97
2023-07-04,20:04:00,117.4286393233,00:06:00,118.6408455041,118.5663648708,117.9024019637,1430210.19,305318645.3
2023-07-03,00:45:00,117.160828996,20:12:00,119.1652518256,117.2463719858,118.5595724863,1421755.23,307020446.2
2023-07-02,20:10:00,115.7291450898,00:04:00,118.2669407386,118.2457122188,117.2380360904,2552116.19,303598211.41
2023-07-01,04:45:00,116.4672880737,00:54:00,118.2593673183,117.9267432335,118.2515733641,1499323.34,306222855.37
2023-06-30,01:55:00,112.7366467693,23:37:00,118.087708554,113.5112703551,117.9150467864,2282365.86,305351390.18
2023-06-29,06:52:00,112.978032059,13:25:00,114.7180314546,113.160414336,113.5147324705,1458922.97,293956389.03
2023-06-28,19:51:00,113.0802376051,00:07:00,116.4174839111,116.4100151381,113.1600583724,1498927.79,293037929.25
2023-06-27,00:07:00,114.221682996,17:54:00,117.301206191,114.3372019509,116.4046879305,1825922.7,301440183.01
2023-06-26,22:07:00,114.1979748138,14:29:00,117.4702019889,116.4802282629,114.3331997749,1852791.6,296075882.14
2023-06-25,00:00:00,114.7363588875,09:04:00,118.0654492035,114.7363588875,116.4698353686,1975940.78,301608888.04
2023-06-24,21:29:00,114.619392675,12:38:00,117.0245966835,116.4945077675,114.7285511882,1594695.88,297099679.42
2023-06-23,00:01:00,114.8823005288,18:11:00,117.92216649,115.1616841706,116.4956097896,1803308.53,301675633.17
2023-06-22,00:24:00,114.2622734197,05:20:00,116.8209557732,114.2809603028,115.1551557101,1495264.65,298204409.37
2023-06-21,00:02:00,109.6720193543,23:37:00,114.5561388511,109.687427327,114.2613164005,1703175.88,295889733.82
2023-06-20,14:37:00,105.4603335807,23:40:00,109.8405461852,106.841206101,109.7078255437,1472064.75,284098068.54
2023-06-19,16:37:00,106.1647360084,13:55:00,107.7310432672,107.1619481275,106.8411442561,1249785.27,276674545.08
2023-06-18,23:16:00,107.0405907677,19:40:00,108.0331363839,107.56163419,107.1483918715,1091917.36,277470189.81
2023-06-17,01:15:00,105.7496188441,06:52:00,108.2977583245,106.0204803388,107.5673590421,1195039.34,278555142.17
2023-06-16,14:55:00,103.4144973881,21:09:00,106.1845771203,104.044054974,106.0131417405,2106565.63,274530359.7
2023-06-15,17:43:00,102.1834678941,21:23:00,104.4899695642,103.9684958981,104.0497475157,1568851.94,269445977.57
2023-06-14,23:59:00,103.9553589596,14:33:00,109.6423345394,108.9139681906,103.9553589596,1943950.72,269201550.1
